utc_timestamp,cet_cest_timestamp,UK_wind_offshore_generation_actual,UK_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,51,342
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,0,429
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,117,1087
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,120,1065
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,115,973
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,114,968
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,109,960
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,106,977
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,111,989
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,127,1022
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,134,1020
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,142,1115
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,146,1148
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,157,1199
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,161,1232
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,165,1263
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,160,1241
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,168,1311
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,172,1280
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,178,1244
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,184,1259
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,183,1267
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,176,1264
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,178,1411
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,89,973
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,0,505
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,179,1421
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,178,1419
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,173,1361
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,171,1351
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,169,1320
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,168,1284
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,167,1251
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,160,1199
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,157,1192
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,156,1174
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,156,1242
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,156,1186
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,152,1116
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,149,1122
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,149,1104
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,134,1044
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,129,1033
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,119,1018
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,115,1055
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,114,1104
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,104,1077
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,102,1041
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,50,666
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,0,285
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,92,819
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,93,719
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,92,603
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,87,548
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,75,421
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,69,348
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,57,337
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,41,349
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,51,330
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,44,294
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,41,296
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,39,312
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,32,316
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,29,307
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,36,294
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,42,278
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,52,238
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,56,213
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,61,190
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,60,191
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,59,182
2015-01-03T22:00:00Z,2015-01-03T23:00:00+0100,55,190
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,25,134
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,0,144
2015-01-04T01:00:00Z,2015-01-04T02:00:00+0100,39,323
2015-01-04T02:00:00Z,2015-01-04T03:00:00+0100,36,296
2015-01-04T03:00:00Z,2015-01-04T04:00:00+0100,34,273
2015-01-04T04:00:00Z,2015-01-04T05:00:00+0100,29,258
2015-01-04T05:00:00Z,2015-01-04T06:00:00+0100,27,252
2015-01-04T06:00:00Z,2015-01-04T07:00:00+0100,27,275
2015-01-04T07:00:00Z,2015-01-04T08:00:00+0100,25,292
2015-01-04T08:00:00Z,2015-01-04T09:00:00+0100,24,332
2015-01-04T09:00:00Z,2015-01-04T10:00:00+0100,22,377
2015-01-04T10:00:00Z,2015-01-04T11:00:00+0100,21,359
2015-01-04T11:00:00Z,2015-01-04T12:00:00+0100,17,414
2015-01-04T12:00:00Z,2015-01-04T13:00:00+0100,16,471
2015-01-04T13:00:00Z,2015-01-04T14:00:00+0100,15,529
2015-01-04T14:00:00Z,2015-01-04T15:00:00+0100,16,552
2015-01-04T15:00:00Z,2015-01-04T16:00:00+0100,18,555
2015-01-04T16:00:00Z,2015-01-04T17:00:00+0100,19,570
2015-01-04T17:00:00Z,2015-01-04T18:00:00+0100,21,622
2015-01-04T18:00:00Z,2015-01-04T19:00:00+0100,23,640
2015-01-04T19:00:00Z,2015-01-04T20:00:00+0100,22,631
2015-01-04T20:00:00Z,2015-01-04T21:00:00+0100,20,635
2015-01-04T21:00:00Z,2015-01-04T22:00:00+0100,21,598
2015-01-04T22:00:00Z,2015-01-04T23:00:00+0100,27,588
2015-01-04T23:00:00Z,2015-01-05T00:00:00+0100,13,391
2015-01-05T00:00:00Z,2015-01-05T01:00:00+0100,686,2017
2015-01-05T01:00:00Z,2015-01-05T02:00:00+0100,804,2162
2015-01-05T02:00:00Z,2015-01-05T03:00:00+0100,906,2199
2015-01-05T03:00:00Z,2015-01-05T04:00:00+0100,849,2181
2015-01-05T04:00:00Z,2015-01-05T05:00:00+0100,834,2186
2015-01-05T05:00:00Z,2015-01-05T06:00:00+0100,906,2041
2015-01-05T06:00:00Z,2015-01-05T07:00:00+0100,936,2008
2015-01-05T07:00:00Z,2015-01-05T08:00:00+0100,960,2199
2015-01-05T08:00:00Z,2015-01-05T09:00:00+0100,1267,2269
2015-01-05T09:00:00Z,2015-01-05T10:00:00+0100,1321,2358
2015-01-05T10:00:00Z,2015-01-05T11:00:00+0100,1570,2288
2015-01-05T11:00:00Z,2015-01-05T12:00:00+0100,1715,2482
2015-01-05T12:00:00Z,2015-01-05T13:00:00+0100,1636,2349
2015-01-05T13:00:00Z,2015-01-05T14:00:00+0100,1520,2493
2015-01-05T14:00:00Z,2015-01-05T15:00:00+0100,1432,2561
2015-01-05T15:00:00Z,2015-01-05T16:00:00+0100,1463,2701
2015-01-05T16:00:00Z,2015-01-05T17:00:00+0100,1522,2718
2015-01-05T17:00:00Z,2015-01-05T18:00:00+0100,1656,2863
2015-01-05T18:00:00Z,2015-01-05T19:00:00+0100,1526,2943
2015-01-05T19:00:00Z,2015-01-05T20:00:00+0100,1234,3306
