Key,Value,Source / comment
area,nl,
dataset_name,nl2019,
group,country,
id,1,
parent_id,1,
enabled.etengine,true,
enabled.etmodel,true,
analysis_year,2019,
has_agriculture,true,
has_semi_detached_houses,true,
has_weather_curves,true,
has_coastline,true,
has_fce,true,
has_industry,true,
has_lignite,false,
has_merit_order,true,
has_mountains,false,
has_solar_csp,false,
has_offshore_solar,true,
has_aquathermal_potential_for_surface_water,true,
has_aquathermal_potential_for_waste_water,true,
has_aquathermal_potential_for_drink_water,true,
has_coal_oil_for_heating_built_environment,false,
has_other_emissions_section,true,
areable_land,18457,Bevolking; kerncijfers (CBS; https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70072ned/table?dl=52965
coast_line,451,The World Factbook (https://www.cia.gov/library/publications/the-world-factbook/geos/nl.html)
offshore_ccs_potential_mt_per_year,65,See etdataset/source_analyses/nl/2019/11_area/11_area_source_analysis_2019.xlsx
total_land_area,33671,Bevolking; kerncijfers (CBS; https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70072ned/table?dl=52965
number_of_inhabitants,17282163,Bevolking; kerncijfers (CBS; https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70072ned/table?dl=52965
offshore_suitable_for_wind,30060,Gebaseerd op 180 GW (technische potentie); zie https://www.rijksoverheid.nl/documenten/kamerstukken/2020/09/01/rapport-noordzee-energie-outlook
non_energetic_emissions_co2_chemical_industry,2.09836848,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_co2_other_industry,0.42664893,Adjusted value. See: etdataset/source_analyses/nl/2019/11_area/NL 2019 non-energetic emissions.xlsx
non_energetic_emissions_co2_agriculture_manure,0.0451781,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_co2_agriculture_soil_cultivation,0.03494361,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_co2_waste_management,0,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
indirect_emissions_co2,0.43112829,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
energetic_emissions_other_ghg_industry,0.1051263,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
energetic_emissions_other_ghg_energy,0.90885862,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
energetic_emissions_other_ghg_transport,0.32247356,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
energetic_emissions_other_ghg_buildings,0.04815931,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
energetic_emissions_other_ghg_households,0.3630606,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
energetic_emissions_other_ghg_agriculture,1.11616434,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_other_ghg_chemical_industry,2.08446111,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_other_ghg_other_industry,1.75051822,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_other_ghg_agriculture_fermentation,8.1358495,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_other_ghg_agriculture_manure,4.61403612,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_other_ghg_agriculture_soil_cultivation,4.82072514,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_other_ghg_agriculture_other,0,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
non_energetic_emissions_other_ghg_waste_management,2.88588392,EEA 2019 (Due to the large file size see Projects/Active/503 Non-energetic CO2/Uitstoot per land/Other_emissions_data.xlsx)
aquathermal_potential_for_surface_water,151.5,Totale potentie; CE Delft; https://ce.nl/wp-content/uploads/2021/03/CE_Delft_5S74_Nationaal_potentieel_van_aquathermie_Def.pdf
aquathermal_potential_for_waste_water,69.9,Technische potentie; CE Delft; https://ce.nl/wp-content/uploads/2021/03/CE_Delft_5S74_Nationaal_potentieel_van_aquathermie_Def.pdf
aquathermal_potential_for_drink_water,5,Technische potentie; CE Delft; https://ce.nl/wp-content/uploads/2021/03/CE_Delft_5S74_Nationaal_potentieel_van_aquathermie_Def.pdf
hydrogen_electrolysis_solar_pv_capacity_ratio,0.426770076,Different per country: calculated in modeling_experiments/electrolysers
present_number_of_buildings_present,912497,See source_analyses/nl/2019/11_area/11_area_insulation_typical_pv_and_heat.xlsx
present_number_of_residences_present,7936906,Imported from 6_residences analysis
present_number_of_apartments_before_1945,540698,Imported from 6_residences analysis
present_number_of_apartments_1945_1964,389344,Imported from 6_residences analysis
present_number_of_apartments_1965_1984,764434,Imported from 6_residences analysis
present_number_of_apartments_1985_2004,619871,Imported from 6_residences analysis
present_number_of_apartments_2005_present,488170,Imported from 6_residences analysis
present_number_of_detached_houses_before_1945,285225,Imported from 6_residences analysis
present_number_of_detached_houses_1945_1964,143135,Imported from 6_residences analysis
present_number_of_detached_houses_1965_1984,231185,Imported from 6_residences analysis
present_number_of_detached_houses_1985_2004,252567,Imported from 6_residences analysis
present_number_of_detached_houses_2005_present,118330,Imported from 6_residences analysis
present_number_of_semi_detached_houses_before_1945,303284,Imported from 6_residences analysis
