Key,Value,Source / comment
area,nl,
dataset_name,nl2023,
group,country,
id,1,
parent_id,1,
enabled.etengine,true,
enabled.etmodel,true,
analysis_year,2023,
has_agriculture,true,
has_semi_detached_houses,true,
has_weather_curves,true,
has_coastline,true,
has_fce,true,
has_industry,true,
has_lignite,false,
has_merit_order,true,
has_mountains,false,
has_solar_csp,false,
has_offshore_solar,true,
has_aquathermal_potential_for_surface_water,true,
has_aquathermal_potential_for_waste_water,true,
has_aquathermal_potential_for_drink_water,true,
has_coal_oil_for_heating_built_environment,false,
has_other_emissions_section,true,
areable_land,18457,Bevolking; kerncijfers (CBS; https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70072ned/table?dl=52965
coast_line,451,The World Factbook (https://www.cia.gov/library/publications/the-world-factbook/geos/nl.html)
offshore_ccs_potential_mt_per_year,65,See etdataset/source_analyses/nl/2019/11_area/11_area_source_analysis_2019.xlsx
flh_solar_pv_solar_radiation_max,1500,Quintel assumption for a suitable maximum value; chosen to match hardcoded value in FLH input
total_land_area,33671,Bevolking; kerncijfers (CBS; https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70072ned/table?dl=52965
number_of_inhabitants,17811291,CBS; see 11_area_source_analysis_2023.xlsx
offshore_suitable_for_wind,30060,Gebaseerd op 180 GW (technische potentie); zie https://www.rijksoverheid.nl/documenten/kamerstukken/2020/09/01/rapport-noordzee-energie-outlook
non_energetic_emissions_co2_chemical_industry,7.992,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_co2_other_industry,0.389,Corrected value; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_co2_agriculture_manure,0.068,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_co2_agriculture_soil_cultivation,0.025,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_co2_waste_management,0,EEA 2023; see 11_area_source_analysis_2023.xlsx
indirect_emissions_co2,0.433,EEA 2023; see 11_area_source_analysis_2023.xlsx
energetic_emissions_other_ghg_industry,0.098,EEA 2023; see 11_area_source_analysis_2023.xlsx
energetic_emissions_other_ghg_energy,0.76,EEA 2023; see 11_area_source_analysis_2023.xlsx
energetic_emissions_other_ghg_transport,0.398,EEA 2023; see 11_area_source_analysis_2023.xlsx
energetic_emissions_other_ghg_buildings,0.066,EEA 2023; see 11_area_source_analysis_2023.xlsx
energetic_emissions_other_ghg_households,0.295,EEA 2023; see 11_area_source_analysis_2023.xlsx
energetic_emissions_other_ghg_agriculture,0.961,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_other_ghg_chemical_industry,0.88,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_other_ghg_other_industry,0.857,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_other_ghg_agriculture_fermentation,8.248,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_other_ghg_agriculture_manure,4.117,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_other_ghg_agriculture_soil_cultivation,4.731,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_other_ghg_agriculture_other,0,EEA 2023; see 11_area_source_analysis_2023.xlsx
non_energetic_emissions_other_ghg_waste_management,2.675,EEA 2023; see 11_area_source_analysis_2023.xlsx
solar_pv_profile_1_share,1,
solar_pv_profile_2_share,0,
