Key,Value,Source / comment
area,de,
group,country,
id,2,
parent_id,2,
enabled.etengine,true,
enabled.etmodel,true,
analysis_year,2015,
has_agriculture,false,
has_buildings,true,
has_climate,false,
has_coastline,true,
has_cold_network,false,
has_electricity_storage,true,
has_employment,false,
has_detailed_chemical_industry,yes,
has_detailed_other_industry,yes,
has_fce,false,
has_industry,true,
has_lignite,true,
has_merit_order,true,
has_metal,true,
has_mountains,true,
has_old_technologies,true,
has_other,true,
has_solar_csp,true,
has_import_export,true,
use_network_calculations,false,
has_aggregated_chemical_industry,true,
has_aggregated_other_industry,true,
areable_land,115933,The World Factbook (land area * areable land %) (https://www.cia.gov/library/publications/the-world-factbook/geos/gm.html)
coast_line,2389,The World Factbook (https://www.cia.gov/library/publications/the-world-factbook/geos/gm.html)
ccs_cost_in_industry,1000,
flh_solar_pv_solar_radiation_max,1000,
land_available_for_solar,115933,Assumed to be equal to areable land
number_of_inhabitants,80327900,Eurostat 2012; Population on 1 January (demo_gind) database
offshore_suitable_for_wind,21706,Based on Ecofys analysis
onshore_suitable_for_wind,101062,Based on Ecofys analysis
other_emission_agriculture,0,
other_emission_built_environment,0,
other_emission_industry_energy,0,
other_emission_transport,0,
solar_pv_profile_1_share,1,
solar_pv_profile_2_share,0,
buildings_insulation_constant_1,0.73,
buildings_insulation_constant_2,0.13,
buildings_insulation_cost_constant,39402.4,
insulation_level_buildings_max,3,
insulation_level_buildings_min,0.6,
insulation_level_new_houses_max,3,
insulation_level_new_houses_min,1.8,
insulation_level_old_houses_max,3,
insulation_level_old_houses_min,0.5,
new_houses_insulation_constant_1,1.85,
new_houses_insulation_constant_2,0.05,
new_houses_insulation_cost_constant,7071,
number_of_buildings,1937139.53136595,Estimated based on floor area from ENTRANZE and floor_area:number_of_buildings ratio in NL.
number_of_residences,40115100,Eurostat 2012; Number of private households (lfst_hhnhtych) database
number_of_new_residences,5616114,
number_of_old_residences,34498986,
old_houses_insulation_constant_1,0.66,
old_houses_insulation_constant_2,0.16,Relevant for the calculations of insulation saving effects
old_houses_insulation_cost_constant,5962.7,
residences_roof_surface_available_for_pv,561,Total based on Ecofys analysis; share of residences is assumed as 2/3.
buildings_roof_surface_available_for_pv,281,Total based on Ecofys analysis; share of services is assumed as 1/3.
technical_lifetime_insulation,30,
co2_emission_1990,1010.78477452,1990 CO2 Emissions (energy related) according to IPCC version20. CRF avaiable on EEA download site. Summarized in: 201711_EEA_all_countries GHG emissions IPCC format 1990 UNFCCC_v20.xlsx (source_analyses>eu>2011>11_area_data)
co2_emission_1990_aviation_bunkers,11.95963055,1990 CO2 Emissions (energy related) according to IPCC version20. CRF avaiable on EEA download site. Summarized in: 201711_EEA_all_countries GHG emissions IPCC format 1990 UNFCCC_v20.xlsx (source_analyses>eu>2011>11_area_data)
co2_emission_1990_marine_bunkers,6.4053476,1990 CO2 Emissions (energy related) according to IPCC version20. CRF avaiable on EEA download site. Summarized in: 201711_EEA_all_countries GHG emissions IPCC format 1990 UNFCCC_v20.xlsx (source_analyses>eu>2011>11_area_data)
co2_percentage_free,0.85,
co2_price,0.005,www.energeia.nl 6/Aug/2015 Cal16 forward price
economic_multiplier,1,Assumed the same value as for NL 2011; this value is not used as has_employment is FALSE
employment_fraction_production,0.5,Assumed the same value as for NL 2011; this value is not used as has_employment is FALSE
employment_local_fraction,0.2,Assumed the same value as for NL 2011; this value is not used as has_employment is FALSE
man_hours_per_man_year,1800,
buildings_insulation_employment_constant,0.0093,Assumed the same value as for NL 2011; this value is not used as has_employment is FALSE
new_houses_insulation_employment_constant,0.014,Assumed the same value as for NL 2011; this value is not used as has_employment is FALSE
old_houses_insulation_employment_constant,0.014,Assumed the same value as for NL 2011; this value is not used as has_employment is FALSE
lv_net_capacity_per_step,0,
lv_net_costs_per_capacity_step,0,
lv_net_spare_capacity,0,
lv_net_total_costs_present,0,
lv_mv_trafo_capacity_per_step,0,
lv_mv_trafo_costs_per_capacity_step,0,
lv_mv_trafo_spare_capacity,0,
lv_mv_trafo_total_costs_present,0,
mv_net_capacity_per_step,0,
mv_net_costs_per_capacity_step,0,
mv_net_spare_capacity,0,
mv_net_total_costs_present,0,
mv_hv_trafo_capacity_per_step,0,
mv_hv_trafo_costs_per_capacity_step,0,
mv_hv_trafo_spare_capacity,0,
mv_hv_trafo_total_costs_present,0,
hv_net_capacity_per_step,0,
hv_net_costs_per_capacity_step,0,
hv_net_spare_capacity,0,
hv_net_total_costs_present,0,
interconnection_net_costs_present,0,
interconnector_capacity,5850,Dutch value as placeholder
offshore_net_costs_present,0,
annual_infrastructure_cost_gas,0,Set the value to 0; this value is not used as use_network_calculations is FALSE
number_of_cars,43431000,EUROSTAT (see source_analyses/EU/2013/8_transport)
electric_vehicle_profile_1_share,1,Assumed that at present all EV charge according to the Movares Overal laden profile
electric_vehicle_profile_2_share,0,Assumed that at present all EV charge according to the Movares Overal laden profile
electric_vehicle_profile_3_share,0,Assumed that at present all EV charge according to the Movares Overal laden profile
