Key,Value,Source / comment
area,nl,
id,1,
parent_id,1,
enabled.etengine,true,
enabled.etmodel,true,
analysis_year,2011,
has_agriculture,true,
has_buildings,true,
has_climate,true,
has_coastline,true,
has_cold_network,false,
has_electricity_storage,true,
has_employment,true,
has_fce,true,
has_industry,true,
has_lignite,false,
has_merit_order,true,
has_metal,true,
has_mountains,false,
has_old_technologies,false,
has_other,true,
has_solar_csp,false,
has_import_export,true,
use_network_calculations,true,
has_aggregated_chemical_industry,true,
has_aggregated_other_industry,true,
areable_land,19175.4889,CBS_20120402_Landbouwareaal analyse (2009 data).xls
coast_line,451,https://www.cia.gov/library/publications/the-world-factbook/geos/nl.html
land_available_for_solar,19175.4889,Assumed to be equal to arable land.
number_of_inhabitants,16655799,Centraal Bureau voor Statistiek: http://statline.cbs.nl/StatWeb/publication/?DM=SLNL&PA=37296ned&D1=a&D2=a&HDR=G1&STB=T&VW=T
offshore_suitable_for_wind,16000,Optimistic estimate Quintel
onshore_suitable_for_wind,11379,Optimistic estimate Quintel
buildings_insulation_constant_1,0.73,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
buildings_insulation_constant_2,0.13,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
buildings_insulation_cost_constant,39402.4,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_buildings_max,3,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_buildings_min,0.6,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_new_houses_max,3,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_old_houses_max,3,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
new_houses_insulation_constant_1,1.85,
new_houses_insulation_constant_2,0.05,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
new_houses_insulation_cost_constant,7071,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
number_of_buildings,392358,20130827_services_source_analysis_NL 2011.xlsx and http://refman.et-model.com/publications/1821
number_of_residences,7386743,CBS: http://statline.cbs.nl/StatWeb/publication/?DM=SLNL&PA=81955NED&D1=a&D2=1&D3=0&D4=16&HDR=G3;G1&STB=G2;T&VW=T
old_houses_insulation_constant_1,0.66,
old_houses_insulation_constant_2,0.16,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
old_houses_insulation_cost_constant,5962.7,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
residences_roof_surface_available_for_pv,266.667,See source analysis: '12_area_source_analysis.md'
buildings_roof_surface_available_for_pv,133.33,See source analysis: '12_area_source_analysis.md'
technical_lifetime_insulation,30,See: https://github.com/quintel/documentation/blob/master/general/insulation.md
co2_emission_1990,152.521357,201312_EEA_NL GHG emissions IPCC format 1990 & 2011.xlsx
co2_percentage_free,0.85,
co2_price,0.00593,http://www.energeia.nl/koers.php
economic_multiplier,1,
employment_fraction_production,0.5,
employment_local_fraction,0.2,
man_hours_per_man_year,1800,
buildings_insulation_employment_constant,0.0093,
new_houses_insulation_employment_constant,0.014,
old_houses_insulation_employment_constant,0.014,
annual_infrastructure_cost_electricity,1810,
annual_infrastructure_cost_gas,1452,
capacity_buffer_decentral_in_mj_s,20000,
capacity_buffer_in_mj_s,1600,
export_electricity_primary_demand_factor,1,
import_electricity_primary_demand_factor,1.82,
investment_hv_net_low,0.2,
investment_hv_net_high,0.25,
investment_hv_net_per_turbine,1.2,
number_of_cars,,
