Plant type,EE,FI,AT,BE,BG,CY,CZ,DE,DK,ES,FR,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,EU27_2020
Coal pulverized,0.0,243.29290701947977,0.0,0.0,0.0,0.0,0.0,2242.553908915857,0.0,0.0,1016.668602400318,0.0,5609.310344827631,0.0,0.0,2958.616208757433,0.0,0.0,0.0,3182.5112331503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520.8376576374526
Coal conventional,0.0,243.29290701948008,0.0,0.0,362.2458893871478,0.0,2334.1967920042102,2242.553908915855,0.0,1370.9407504966184,0.0,0.0,0.0,0.0,594.0373619233316,2958.616208757427,0.0,0.0,0.0,3182.5112331502987,0.0,3150.7368387750184,0.0,0.0,0.0,0.0,0.0,1520.837658001309
Lignite plant,0.0,0.0,0.0,0.0,4404.593461860891,0.0,4527.936585318901,6014.784127820645,0.0,0.0,0.0,1837.0261583713543,0.0,25.79132473622529,4507.952699161461,0.0,0.0,0.0,0.0,0.0,322.3952810180301,0.0,3977.308762472474,0.0,3691.549399674429,0.0,0.0,4038.7484475099805
Gas conventional,0.0,0.0,1489.9792836126048,2373.1716841806574,71.85008220304206,0.0,0.0,1312.31105297476,0.6377281673128458,0.0,0.0,0.0,46.49350649350695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717.7692562901634,0.0,53.286472448058085,1619.1825285889977,0.0,1934.770790787776
Gas turbine,0.0,219.1164481425468,1489.979284210369,2373.1716841806497,71.8500822030421,0.0,0.0,1312.3110529747632,0.6377281673128466,0.0,3869.753054530578,2707.570705176802,0.0,2068.728836826228,0.0,1668.3432147502183,0.0,0.0,0.0,2498.064223212834,0.0,0.0,1717.7692562901627,0.0,53.28647244805827,0.0,0.0,1934.7707900289324
Gas CCGT,0.0,219.11644814254663,1489.9792844350204,2373.1716841806483,71.85008220304202,0.0,2764.857003772688,1312.3110529747623,0.6377281673128457,2260.418571540549,3869.7530545305776,2707.5707051767995,46.49350649350684,2068.7288368262266,3742.098839446992,1668.343214750218,0.0,0.0,0.0,2498.0642232128307,0.0,3233.46877629787,1717.7692562901625,0.0,0.0,1619.182528588998,5435.1356262596655,1934.7707902647196
Oil-fired plant,2763.9598662207577,0.0,1611.0588174571285,53.16455696202574,0.0,3131.0407314670942,1836.7149758454248,799.1749657518498,23.983414112987475,0.0,3350.680027059049,6775.423728813614,0.0,26.82926829268314,302.8020909311961,4933.576148319258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.984725965858113,0.0,4.032258064516161,140.22351421188742,2743.6753770687565
Nuclear conventional,0.0,8543.30708661424,0.0,7323.506646474902,8446.57553854882,0.0,7458.807153680336,8000.0,0.0,8198.124023514401,6449.401741521427,0.0,0.0,8572.631578947437,0.0,0.0,0.0,0.0,0.0,8044.749085505322,0.0,0.0,8677.051495726566,8571.613739468636,8280.59309309316,2393.2747810658507,0.0,7133.186730155787
Solar pv plant,1.5026987242394627,0.0,0.0,39.16158542117625,311.10470076253483,10.460774873297682,0.0,0.0,461.6841489979488,3324.16541216478,1383.317905307671,8000.0,7.688838711480226,0.0,332.3383084577142,8000.0,0.0,1265.8737864077773,0.0,8000.0,417.528922071568,872.0117565948649,1971.97699675409,0.0,216.81176563644783,2119.642863569151,139.54424603174712,1001.5643796854259
Solar on roof households,1.5026987242394687,249.4613935969888,235.55121167389552,39.16158542117631,311.1047007625347,10.460774873297666,2205.8055144700675,8000.0,461.68414899794897,3324.165412164779,1383.317905307668,0.0,7.688838711480232,8000.0,332.33830845771416,8000.0,8000.0,1265.8737864077768,20.73862029501636,8000.0,417.528922071568,0.0,1971.976996754089,3058.558558558583,0.0,2119.642863569147,139.54424603174664,1001.5643796854271
Solar on roof buildings,1.5026987242394687,249.4613935969888,235.55121167389552,39.16158542117631,311.1047007625347,10.460774873297666,2205.8055144700675,8000.0,461.68414899794897,3324.165412164779,1383.317905307668,0.0,7.688838711480232,8000.0,332.33830845771416,8000.0,8000.0,1265.8737864077768,20.73862029501636,8000.0,417.528922071568,0.0,1971.976996754089,3058.558558558583,0.0,2119.642863569147,139.54424603174664,1001.5643796854271
Wind onshore,2174.0506329114096,2628.4322096057463,2310.7337950549468,2309.024804233456,1873.062998571461,1512.5376446346609,2062.4190189234814,1901.3901334916304,2381.0775244577303,2174.553916916872,2113.851958312071,2024.6160335593488,2270.3079065449665,2256.965944272464,2428.1125422578925,1891.672607458112,2807.865168539348,2071.395316107912,1976.32105039514,2390.651672551374,2588.18177095468,2616.813359428614,2229.7203104804234,2286.257343624024,1863.6363636363783,1500.000000000012,580.5555555555601,2134.3487482777477
Wind offshore,0.0,2921.678022915783,0.0,2842.3025742910286,0.0,0.0,0.0,3277.9302408976355,3332.547296589446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3213.9195926534526,0.0,0.0,0.0,2286.257343624024,0.0,0.0,0.0,2997.65814180152
