crt_code,crt_category,co2,other_ghg,total_ghg,unit
,HWP in SWDS,0.0,0.0,0.0,kton CO2-eq
,Multilateral Operations,0.0,0.0,0.0,kton CO2-eq
,Total Amount Captured for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of CO₂ Injected at Storage Sites,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Exports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Imports for Storage,0.0,0.0,0.0,kton CO2-eq
,"Total Leakage from Transport, Injection and Storage",0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Biomass,0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Fossil Fuels,0.0,0.0,0.0,kton CO2-eq
,Total GHG emissions with LULUCF,7043.578681135169,1550.9989029626477,8594.577584097817,kton CO2-eq
,Total GHG emissions with LULUCF including indirect CO₂,7048.545881135169,1550.9989029626486,8599.544784097818,kton CO2-eq
,Total GHG emissions without LULUCF,7342.335571778845,1549.2831807755301,8891.618752554376,kton CO2-eq
,Total GHG emissions without LULUCF including indirect CO₂,7347.302771778845,1549.283180775531,8896.585952554376,kton CO2-eq
1,Energy,6522.742166867059,43.972066390841064,6566.7142332579,kton CO2-eq
1.A.1,Energy Industries,3282.0565,10.463784375451269,3292.5202843754514,kton CO2-eq
1.A.1.a,Public Electricity and Heat Production,3282.0565,10.28705257545107,3292.343552575451,kton CO2-eq
1.A.1.a.i,Electricity Generation,3282.0565,10.28705257545107,3292.343552575451,kton CO2-eq
1.A.1.b,Petroleum Refining,0.0,0.0,0.0,kton CO2-eq
1.A.1.c,Manufacture of Solid Fuels and Other Energy Industries,0.0,0.1767318,0.1767318,kton CO2-eq
1.A.1.c.ii,Oil and Gas Extraction,0.0,0.0,0.0,kton CO2-eq
1.A.1.c.iv,Other,0.0,0.1767318,0.1767318,kton CO2-eq
1.A.2,Manufacturing Industries and Construction,559.88119995,6.207065522249991,566.08826547225,kton CO2-eq
1.A.2.a,Iron and Steel,0.0095589,3.134699999999928e-05,0.009590247,kton CO2-eq
1.A.2.b,Non-Ferrous Metals,2.15187824,0.0023127163000000728,2.1541909563,kton CO2-eq
