,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-1.43052360000000E+05,-2.75498390000000E+05,1.87831030000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-3.37339730000000E+05,2.52120010000000E+05,6.64163800000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Blast furnaces,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Total final consumption,,,,,,,,,
Industry - Steel,3.81822308905330E+04,0.00000000000000E+00,1.28767500000000E+05,8.44001905820090E+04,3.47542000000000E+03,0.00000000000000E+00,1.52002000000000E+03,9.49104100000000E+04,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.38730266666666E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.38059920840000E+04,0.00000000000000E+00
Industry - Other metals,1.34285684506401E+03,-4.87050000000000E+02,-,1.99300256156900E+04,3.11498000000000E+03,0.00000000000000E+00,1.10900000000000E+03,1.33295879160000E+04,0.00000000000000E+00
