column,commit_message
energetic_emissions_other_ghg_agriculture,"Energetic other greenhouse gas emissions from agriculture are calculated by converting agricultural combustion N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
energetic_emissions_other_ghg_buildings,"Energetic other greenhouse gas emissions from buildings are calculated by converting commercial and public building combustion N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
energetic_emissions_other_ghg_energy,"Energetic other greenhouse gas emissions from energy sector are calculated by converting oil/gas extraction and power generation N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
energetic_emissions_other_ghg_households,"Energetic other greenhouse gas emissions from households are calculated by converting residential combustion N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
energetic_emissions_other_ghg_industry,"Energetic other greenhouse gas emissions from industry are calculated by converting industrial combustion N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
energetic_emissions_other_ghg_transport,"Energetic other greenhouse gas emissions from transport are calculated by converting vehicle exhaust N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
non_energetic_emissions_other_ghg_agriculture_fermentation,"Non-energetic agriculture fermentation emissions are calculated by converting livestock enteric fermentation CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
non_energetic_emissions_other_ghg_agriculture_manure,"Non-energetic agriculture manure emissions are calculated by converting livestock manure N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
non_energetic_emissions_other_ghg_agriculture_other,"Non-energetic other agriculture emissions are calculated by converting miscellaneous agricultural process N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
non_energetic_emissions_other_ghg_agriculture_soil_cultivation,"Non-energetic agriculture soil cultivation emissions are calculated by converting agricultural soil N2O emissions from fertilizer application (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
non_energetic_emissions_other_ghg_chemical_industry,"Non-energetic chemical industry emissions are calculated by converting industrial process F-gas, N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
non_energetic_emissions_other_ghg_other_industry,"Non-energetic other industry emissions are calculated by converting miscellaneous industrial process N2O, CH4 and F-gas emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
non_energetic_emissions_other_ghg_waste_management,"Non-energetic waste management emissions are calculated by converting waste treatment and landfill N2O and CH4 emissions (Emissieregistratie, 2023) to CO2-equivalents using IPCC GWP factors."
