Key,Value,Source / comment
area,de,
id,2,
parent_id,2,
enabled.etengine,true,
enabled.etmodel,true,
analysis_year,2011,
has_agriculture,false,
has_buildings,true,
has_climate,false,
has_coastline,true,
has_cold_network,false,
has_electricity_storage,false,
has_employment,false,
has_fce,false,
has_industry,true,
has_lignite,true,
has_merit_order,false,
has_metal,true,
has_mountains,true,
has_old_technologies,true,
has_other,true,
has_solar_csp,true,
has_import_export,true,
use_network_calculations,false,
areable_land,189324,
coast_line,2196,
land_available_for_solar,132527,
number_of_inhabitants,82329800,
offshore_suitable_for_wind,1010,
onshore_suitable_for_wind,23665,
buildings_insulation_constant_1,0.73,
buildings_insulation_constant_2,0.13,
buildings_insulation_cost_constant,39402.4,
insulation_level_buildings_max,3,
insulation_level_buildings_min,0.6,
insulation_level_new_houses_max,3,
insulation_level_old_houses_max,3,
new_houses_insulation_constant_1,1.85,
new_houses_insulation_constant_2,0.05,
new_houses_insulation_cost_constant,7071,
number_of_buildings,1923001,
number_of_residences,40076000,
old_houses_insulation_constant_1,0.66,
old_houses_insulation_constant_2,0.16,relevant for the calculations of insulation saving effects
old_houses_insulation_cost_constant,5962.7,
residences_roof_surface_available_for_pv,1344,
buildings_roof_surface_available_for_pv,1000,
technical_lifetime_insulation,30,
co2_emission_1990,948.09,
co2_percentage_free,0.85,
co2_price,0.00441,
economic_multiplier,1,assumed the same value as for nl/2011; this value is not used as has_employment is FALSE
employment_fraction_production,0.5,assumed the same value as for nl/2011; this value is not used as has_employment is FALSE
employment_local_fraction,0.2,assumed the same value as for nl/2011; this value is not used as has_employment is FALSE
man_hours_per_man_year,1800,
buildings_insulation_employment_constant,0.0093,assumed the same value as for nl/2011; this value is not used as has_employment is FALSE
new_houses_insulation_employment_constant,0.014,assumed the same value as for nl/2011; this value is not used as has_employment is FALSE
old_houses_insulation_employment_constant,0.014,assumed the same value as for nl/2011; this value is not used as has_employment is FALSE
annual_infrastructure_cost_electricity,0,
annual_infrastructure_cost_gas,0,set the value to 0; this value is not used as use_network_calculations is FALSE
capacity_buffer_decentral_in_mj_s,0,
capacity_buffer_in_mj_s,0,
export_electricity_primary_demand_factor,1,
import_electricity_primary_demand_factor,1.85,assumed the same value as for nl/2011
capacity_credit_wind_constant_p1,1115,number taken from thesis by E.J.D. Wilson; see https://www.dropbox.com/s/51zq43y5pdw0pfj/Thesis_E.J.D._Wilton_v2.3.pdf
capacity_credit_wind_constant_p2,41870,number taken from thesis by E.J.D. Wilson; see https://www.dropbox.com/s/51zq43y5pdw0pfj/Thesis_E.J.D._Wilton_v2.3.pdf
capacity_credit_wind_constant_q1,3358,number taken from thesis by E.J.D. Wilson; see https://www.dropbox.com/s/51zq43y5pdw0pfj/Thesis_E.J.D._Wilton_v2.3.pdf
