E2F86B7261C10873865CEC2FEFD2F3E0,,Versienr,I_1.02
02-01-2023 01:00,02-01-2023 00:45,02-01-2023 01:00,0.00000000
02-01-2023 01:15,02-01-2023 01:00,02-01-2023 01:15,0.00000000
02-01-2023 01:30,02-01-2023 01:15,02-01-2023 01:30,0.00000000
02-01-2023 01:45,02-01-2023 01:30,02-01-2023 01:45,0.00000000
02-01-2023 02:00,02-01-2023 01:45,02-01-2023 02:00,0.00000000
02-01-2023 02:15,02-01-2023 02:00,02-01-2023 02:15,0.00000000
02-01-2023 02:30,02-01-2023 02:15,02-01-2023 02:30,0.00000000
02-01-2023 02:45,02-01-2023 02:30,02-01-2023 02:45,0.00000000
02-01-2023 03:00,02-01-2023 02:45,02-01-2023 03:00,0.00000000
02-01-2023 03:15,02-01-2023 03:00,02-01-2023 03:15,0.00000000
02-01-2023 03:30,02-01-2023 03:15,02-01-2023 03:30,0.00000000
02-01-2023 03:45,02-01-2023 03:30,02-01-2023 03:45,0.00000000
02-01-2023 04:00,02-01-2023 03:45,02-01-2023 04:00,0.00000000
02-01-2023 04:15,02-01-2023 04:00,02-01-2023 04:15,0.00000000
02-01-2023 04:30,02-01-2023 04:15,02-01-2023 04:30,0.00000000
02-01-2023 04:45,02-01-2023 04:30,02-01-2023 04:45,0.00000000
02-01-2023 05:00,02-01-2023 04:45,02-01-2023 05:00,0.00000000
02-01-2023 05:15,02-01-2023 05:00,02-01-2023 05:15,0.00000000
02-01-2023 05:30,02-01-2023 05:15,02-01-2023 05:30,0.00000000
02-01-2023 05:45,02-01-2023 05:30,02-01-2023 05:45,0.00000000
02-01-2023 06:00,02-01-2023 05:45,02-01-2023 06:00,0.00000000
02-01-2023 06:15,02-01-2023 06:00,02-01-2023 06:15,0.00000000
02-01-2023 06:30,02-01-2023 06:15,02-01-2023 06:30,0.00000000
02-01-2023 06:45,02-01-2023 06:30,02-01-2023 06:45,0.00000000
02-01-2023 07:00,02-01-2023 06:45,02-01-2023 07:00,0.00000000
02-01-2023 07:15,02-01-2023 07:00,02-01-2023 07:15,0.00000000
02-01-2023 07:30,02-01-2023 07:15,02-01-2023 07:30,0.00000000
02-01-2023 07:45,02-01-2023 07:30,02-01-2023 07:45,0.00000000
02-01-2023 08:00,02-01-2023 07:45,02-01-2023 08:00,0.00000000
02-01-2023 08:15,02-01-2023 08:00,02-01-2023 08:15,0.00000000
02-01-2023 08:30,02-01-2023 08:15,02-01-2023 08:30,0.00000000
02-01-2023 08:45,02-01-2023 08:30,02-01-2023 08:45,0.00000000
02-01-2023 09:00,02-01-2023 08:45,02-01-2023 09:00,0.00000000
02-01-2023 09:15,02-01-2023 09:00,02-01-2023 09:15,0.00000000
02-01-2023 09:30,02-01-2023 09:15,02-01-2023 09:30,0.00000000
02-01-2023 09:45,02-01-2023 09:30,02-01-2023 09:45,0.00000000
02-01-2023 10:00,02-01-2023 09:45,02-01-2023 10:00,0.00000000
02-01-2023 10:15,02-01-2023 10:00,02-01-2023 10:15,0.00000000
02-01-2023 10:30,02-01-2023 10:15,02-01-2023 10:30,0.00000000
02-01-2023 10:45,02-01-2023 10:30,02-01-2023 10:45,0.00000000
02-01-2023 11:00,02-01-2023 10:45,02-01-2023 11:00,0.00000000
02-01-2023 11:15,02-01-2023 11:00,02-01-2023 11:15,0.00000000
02-01-2023 11:30,02-01-2023 11:15,02-01-2023 11:30,0.00000005
02-01-2023 11:45,02-01-2023 11:30,02-01-2023 11:45,0.00000010
02-01-2023 12:00,02-01-2023 11:45,02-01-2023 12:00,0.00000016
02-01-2023 12:15,02-01-2023 12:00,02-01-2023 12:15,0.00000020
02-01-2023 12:30,02-01-2023 12:15,02-01-2023 12:30,0.00000037
02-01-2023 12:45,02-01-2023 12:30,02-01-2023 12:45,0.00000051
02-01-2023 13:00,02-01-2023 12:45,02-01-2023 13:00,0.00000061
02-01-2023 13:15,02-01-2023 13:00,02-01-2023 13:15,0.00000051
02-01-2023 13:30,02-01-2023 13:15,02-01-2023 13:30,0.00000036
02-01-2023 13:45,02-01-2023 13:30,02-01-2023 13:45,0.00000017
02-01-2023 14:00,02-01-2023 13:45,02-01-2023 14:00,0.00000005
02-01-2023 14:15,02-01-2023 14:00,02-01-2023 14:15,0.00000000
02-01-2023 14:30,02-01-2023 14:15,02-01-2023 14:30,0.00000000
02-01-2023 14:45,02-01-2023 14:30,02-01-2023 14:45,0.00000000
02-01-2023 15:00,02-01-2023 14:45,02-01-2023 15:00,0.00000000
02-01-2023 15:15,02-01-2023 15:00,02-01-2023 15:15,0.00000000
02-01-2023 15:30,02-01-2023 15:15,02-01-2023 15:30,0.00000000
02-01-2023 15:45,02-01-2023 15:30,02-01-2023 15:45,0.00000000
02-01-2023 16:00,02-01-2023 15:45,02-01-2023 16:00,0.00000000
02-01-2023 16:15,02-01-2023 16:00,02-01-2023 16:15,0.00000000
02-01-2023 16:30,02-01-2023 16:15,02-01-2023 16:30,0.00000000
02-01-2023 16:45,02-01-2023 16:30,02-01-2023 16:45,0.00000000
02-01-2023 17:00,02-01-2023 16:45,02-01-2023 17:00,0.00000000
02-01-2023 17:15,02-01-2023 17:00,02-01-2023 17:15,0.00000000
02-01-2023 17:30,02-01-2023 17:15,02-01-2023 17:30,0.00000000
02-01-2023 17:45,02-01-2023 17:30,02-01-2023 17:45,0.00000000
02-01-2023 18:00,02-01-2023 17:45,02-01-2023 18:00,0.00000000
02-01-2023 18:15,02-01-2023 18:00,02-01-2023 18:15,0.00000000
02-01-2023 18:30,02-01-2023 18:15,02-01-2023 18:30,0.00000000
02-01-2023 18:45,02-01-2023 18:30,02-01-2023 18:45,0.00000000
02-01-2023 19:00,02-01-2023 18:45,02-01-2023 19:00,0.00000000
02-01-2023 19:15,02-01-2023 19:00,02-01-2023 19:15,0.00000000
02-01-2023 19:30,02-01-2023 19:15,02-01-2023 19:30,0.00000000
02-01-2023 19:45,02-01-2023 19:30,02-01-2023 19:45,0.00000000
02-01-2023 20:00,02-01-2023 19:45,02-01-2023 20:00,0.00000000
02-01-2023 20:15,02-01-2023 20:00,02-01-2023 20:15,0.00000000
02-01-2023 20:30,02-01-2023 20:15,02-01-2023 20:30,0.00000000
02-01-2023 20:45,02-01-2023 20:30,02-01-2023 20:45,0.00000000
02-01-2023 21:00,02-01-2023 20:45,02-01-2023 21:00,0.00000000
02-01-2023 21:15,02-01-2023 21:00,02-01-2023 21:15,0.00000000
02-01-2023 21:30,02-01-2023 21:15,02-01-2023 21:30,0.00000000
02-01-2023 21:45,02-01-2023 21:30,02-01-2023 21:45,0.00000000
02-01-2023 22:00,02-01-2023 21:45,02-01-2023 22:00,0.00000000
02-01-2023 22:15,02-01-2023 22:00,02-01-2023 22:15,0.00000000
02-01-2023 22:30,02-01-2023 22:15,02-01-2023 22:30,0.00000000
02-01-2023 22:45,02-01-2023 22:30,02-01-2023 22:45,0.00000000
02-01-2023 23:00,02-01-2023 22:45,02-01-2023 23:00,0.00000000
02-01-2023 23:15,02-01-2023 23:00,02-01-2023 23:15,0.00000000
02-01-2023 23:30,02-01-2023 23:15,02-01-2023 23:30,0.00000000
02-01-2023 23:45,02-01-2023 23:30,02-01-2023 23:45,0.00000000
03-01-2023 00:00,02-01-2023 23:45,03-01-2023 00:00,0.00000000
03-01-2023 00:15,03-01-2023 00:00,03-01-2023 00:15,0.00000000
03-01-2023 00:30,03-01-2023 00:15,03-01-2023 00:30,0.00000000
03-01-2023 00:45,03-01-2023 00:30,03-01-2023 00:45,0.00000000
03-01-2023 01:00,03-01-2023 00:45,03-01-2023 01:00,0.00000000
03-01-2023 01:15,03-01-2023 01:00,03-01-2023 01:15,0.00000000
03-01-2023 01:30,03-01-2023 01:15,03-01-2023 01:30,0.00000000
03-01-2023 01:45,03-01-2023 01:30,03-01-2023 01:45,0.00000000
03-01-2023 02:00,03-01-2023 01:45,03-01-2023 02:00,0.00000000
03-01-2023 02:15,03-01-2023 02:00,03-01-2023 02:15,0.00000000
03-01-2023 02:30,03-01-2023 02:15,03-01-2023 02:30,0.00000000
03-01-2023 02:45,03-01-2023 02:30,03-01-2023 02:45,0.00000000
03-01-2023 03:00,03-01-2023 02:45,03-01-2023 03:00,0.00000000
03-01-2023 03:15,03-01-2023 03:00,03-01-2023 03:15,0.00000000
03-01-2023 03:30,03-01-2023 03:15,03-01-2023 03:30,0.00000000
03-01-2023 03:45,03-01-2023 03:30,03-01-2023 03:45,0.00000000
03-01-2023 04:00,03-01-2023 03:45,03-01-2023 04:00,0.00000000
03-01-2023 04:15,03-01-2023 04:00,03-01-2023 04:15,0.00000000
03-01-2023 04:30,03-01-2023 04:15,03-01-2023 04:30,0.00000000
03-01-2023 04:45,03-01-2023 04:30,03-01-2023 04:45,0.00000000
03-01-2023 05:00,03-01-2023 04:45,03-01-2023 05:00,0.00000000
03-01-2023 05:15,03-01-2023 05:00,03-01-2023 05:15,0.00000000
03-01-2023 05:30,03-01-2023 05:15,03-01-2023 05:30,0.00000000
03-01-2023 05:45,03-01-2023 05:30,03-01-2023 05:45,0.00000000
03-01-2023 06:00,03-01-2023 05:45,03-01-2023 06:00,0.00000000
03-01-2023 06:15,03-01-2023 06:00,03-01-2023 06:15,0.00000000
03-01-2023 06:30,03-01-2023 06:15,03-01-2023 06:30,0.00000000
03-01-2023 06:45,03-01-2023 06:30,03-01-2023 06:45,0.00000000
03-01-2023 07:00,03-01-2023 06:45,03-01-2023 07:00,0.00000000
03-01-2023 07:15,03-01-2023 07:00,03-01-2023 07:15,0.00000000
03-01-2023 07:30,03-01-2023 07:15,03-01-2023 07:30,0.00000000
03-01-2023 07:45,03-01-2023 07:30,03-01-2023 07:45,0.00000000
03-01-2023 08:00,03-01-2023 07:45,03-01-2023 08:00,0.00000000
03-01-2023 08:15,03-01-2023 08:00,03-01-2023 08:15,0.00000000
03-01-2023 08:30,03-01-2023 08:15,03-01-2023 08:30,0.00000000
03-01-2023 08:45,03-01-2023 08:30,03-01-2023 08:45,0.00000000
03-01-2023 09:00,03-01-2023 08:45,03-01-2023 09:00,0.00000000
03-01-2023 09:15,03-01-2023 09:00,03-01-2023 09:15,0.00000000
03-01-2023 09:30,03-01-2023 09:15,03-01-2023 09:30,0.00000000
03-01-2023 09:45,03-01-2023 09:30,03-01-2023 09:45,0.00000000
03-01-2023 10:00,03-01-2023 09:45,03-01-2023 10:00,0.00000000
03-01-2023 10:15,03-01-2023 10:00,03-01-2023 10:15,0.00000000
03-01-2023 10:30,03-01-2023 10:15,03-01-2023 10:30,0.00000000
03-01-2023 10:45,03-01-2023 10:30,03-01-2023 10:45,0.00000000
03-01-2023 11:00,03-01-2023 10:45,03-01-2023 11:00,0.00000000
03-01-2023 11:15,03-01-2023 11:00,03-01-2023 11:15,0.00000000
03-01-2023 11:30,03-01-2023 11:15,03-01-2023 11:30,0.00000000
03-01-2023 11:45,03-01-2023 11:30,03-01-2023 11:45,0.00000012
03-01-2023 12:00,03-01-2023 11:45,03-01-2023 12:00,0.00000015
03-01-2023 12:15,03-01-2023 12:00,03-01-2023 12:15,0.00000035
03-01-2023 12:30,03-01-2023 12:15,03-01-2023 12:30,0.00000049
03-01-2023 12:45,03-01-2023 12:30,03-01-2023 12:45,0.00000066
03-01-2023 13:00,03-01-2023 12:45,03-01-2023 13:00,0.00000057
03-01-2023 13:15,03-01-2023 13:00,03-01-2023 13:15,0.00000034
03-01-2023 13:30,03-01-2023 13:15,03-01-2023 13:30,0.00000013
03-01-2023 13:45,03-01-2023 13:30,03-01-2023 13:45,0.00000003
03-01-2023 14:00,03-01-2023 13:45,03-01-2023 14:00,0.00000000
03-01-2023 14:15,03-01-2023 14:00,03-01-2023 14:15,0.00000000
03-01-2023 14:30,03-01-2023 14:15,03-01-2023 14:30,0.00000000
03-01-2023 14:45,03-01-2023 14:30,03-01-2023 14:45,0.00000000
03-01-2023 15:00,03-01-2023 14:45,03-01-2023 15:00,0.00000000
03-01-2023 15:15,03-01-2023 15:00,03-01-2023 15:15,0.00000000
03-01-2023 15:30,03-01-2023 15:15,03-01-2023 15:30,0.00000000
03-01-2023 15:45,03-01-2023 15:30,03-01-2023 15:45,0.00000000
03-01-2023 16:00,03-01-2023 15:45,03-01-2023 16:00,0.00000000
03-01-2023 16:15,03-01-2023 16:00,03-01-2023 16:15,0.00000000
03-01-2023 16:30,03-01-2023 16:15,03-01-2023 16:30,0.00000000
03-01-2023 16:45,03-01-2023 16:30,03-01-2023 16:45,0.00000000
03-01-2023 17:00,03-01-2023 16:45,03-01-2023 17:00,0.00000000
03-01-2023 17:15,03-01-2023 17:00,03-01-2023 17:15,0.00000000
03-01-2023 17:30,03-01-2023 17:15,03-01-2023 17:30,0.00000000
03-01-2023 17:45,03-01-2023 17:30,03-01-2023 17:45,0.00000000
03-01-2023 18:00,03-01-2023 17:45,03-01-2023 18:00,0.00000000
03-01-2023 18:15,03-01-2023 18:00,03-01-2023 18:15,0.00000000
03-01-2023 18:30,03-01-2023 18:15,03-01-2023 18:30,0.00000000
03-01-2023 18:45,03-01-2023 18:30,03-01-2023 18:45,0.00000000
03-01-2023 19:00,03-01-2023 18:45,03-01-2023 19:00,0.00000000
03-01-2023 19:15,03-01-2023 19:00,03-01-2023 19:15,0.00000000
03-01-2023 19:30,03-01-2023 19:15,03-01-2023 19:30,0.00000000
03-01-2023 19:45,03-01-2023 19:30,03-01-2023 19:45,0.00000000
03-01-2023 20:00,03-01-2023 19:45,03-01-2023 20:00,0.00000000
03-01-2023 20:15,03-01-2023 20:00,03-01-2023 20:15,0.00000000
03-01-2023 20:30,03-01-2023 20:15,03-01-2023 20:30,0.00000000
03-01-2023 20:45,03-01-2023 20:30,03-01-2023 20:45,0.00000000
03-01-2023 21:00,03-01-2023 20:45,03-01-2023 21:00,0.00000000
03-01-2023 21:15,03-01-2023 21:00,03-01-2023 21:15,0.00000000
03-01-2023 21:30,03-01-2023 21:15,03-01-2023 21:30,0.00000000
03-01-2023 21:45,03-01-2023 21:30,03-01-2023 21:45,0.00000000
03-01-2023 22:00,03-01-2023 21:45,03-01-2023 22:00,0.00000000
03-01-2023 22:15,03-01-2023 22:00,03-01-2023 22:15,0.00000000
03-01-2023 22:30,03-01-2023 22:15,03-01-2023 22:30,0.00000000
03-01-2023 22:45,03-01-2023 22:30,03-01-2023 22:45,0.00000000
03-01-2023 23:00,03-01-2023 22:45,03-01-2023 23:00,0.00000000
03-01-2023 23:15,03-01-2023 23:00,03-01-2023 23:15,0.00000000
03-01-2023 23:30,03-01-2023 23:15,03-01-2023 23:30,0.00000000
03-01-2023 23:45,03-01-2023 23:30,03-01-2023 23:45,0.00000000
04-01-2023 00:00,03-01-2023 23:45,04-01-2023 00:00,0.00000000
04-01-2023 00:15,04-01-2023 00:00,04-01-2023 00:15,0.00000000
04-01-2023 00:30,04-01-2023 00:15,04-01-2023 00:30,0.00000000
04-01-2023 00:45,04-01-2023 00:30,04-01-2023 00:45,0.00000000
04-01-2023 01:00,04-01-2023 00:45,04-01-2023 01:00,0.00000000
04-01-2023 01:15,04-01-2023 01:00,04-01-2023 01:15,0.00000000
04-01-2023 01:30,04-01-2023 01:15,04-01-2023 01:30,0.00000000
04-01-2023 01:45,04-01-2023 01:30,04-01-2023 01:45,0.00000000
04-01-2023 02:00,04-01-2023 01:45,04-01-2023 02:00,0.00000000
04-01-2023 02:15,04-01-2023 02:00,04-01-2023 02:15,0.00000000
04-01-2023 02:30,04-01-2023 02:15,04-01-2023 02:30,0.00000000
04-01-2023 02:45,04-01-2023 02:30,04-01-2023 02:45,0.00000000
04-01-2023 03:00,04-01-2023 02:45,04-01-2023 03:00,0.00000000
04-01-2023 03:15,04-01-2023 03:00,04-01-2023 03:15,0.00000000
04-01-2023 03:30,04-01-2023 03:15,04-01-2023 03:30,0.00000000
04-01-2023 03:45,04-01-2023 03:30,04-01-2023 03:45,0.00000000
04-01-2023 04:00,04-01-2023 03:45,04-01-2023 04:00,0.00000000
04-01-2023 04:15,04-01-2023 04:00,04-01-2023 04:15,0.00000000
04-01-2023 04:30,04-01-2023 04:15,04-01-2023 04:30,0.00000000
04-01-2023 04:45,04-01-2023 04:30,04-01-2023 04:45,0.00000000
04-01-2023 05:00,04-01-2023 04:45,04-01-2023 05:00,0.00000000
04-01-2023 05:15,04-01-2023 05:00,04-01-2023 05:15,0.00000000
04-01-2023 05:30,04-01-2023 05:15,04-01-2023 05:30,0.00000000
04-01-2023 05:45,04-01-2023 05:30,04-01-2023 05:45,0.00000000
04-01-2023 06:00,04-01-2023 05:45,04-01-2023 06:00,0.00000000
04-01-2023 06:15,04-01-2023 06:00,04-01-2023 06:15,0.00000000
04-01-2023 06:30,04-01-2023 06:15,04-01-2023 06:30,0.00000000
04-01-2023 06:45,04-01-2023 06:30,04-01-2023 06:45,0.00000000
04-01-2023 07:00,04-01-2023 06:45,04-01-2023 07:00,0.00000000
04-01-2023 07:15,04-01-2023 07:00,04-01-2023 07:15,0.00000000
04-01-2023 07:30,04-01-2023 07:15,04-01-2023 07:30,0.00000000
04-01-2023 07:45,04-01-2023 07:30,04-01-2023 07:45,0.00000000
04-01-2023 08:00,04-01-2023 07:45,04-01-2023 08:00,0.00000000
04-01-2023 08:15,04-01-2023 08:00,04-01-2023 08:15,0.00000000
04-01-2023 08:30,04-01-2023 08:15,04-01-2023 08:30,0.00000000
04-01-2023 08:45,04-01-2023 08:30,04-01-2023 08:45,0.00000000
04-01-2023 09:00,04-01-2023 08:45,04-01-2023 09:00,0.00000000
04-01-2023 09:15,04-01-2023 09:00,04-01-2023 09:15,0.00000000
04-01-2023 09:30,04-01-2023 09:15,04-01-2023 09:30,0.00000000
04-01-2023 09:45,04-01-2023 09:30,04-01-2023 09:45,0.00000000
04-01-2023 10:00,04-01-2023 09:45,04-01-2023 10:00,0.00000000
04-01-2023 10:15,04-01-2023 10:00,04-01-2023 10:15,0.00000000
04-01-2023 10:30,04-01-2023 10:15,04-01-2023 10:30,0.00000000
04-01-2023 10:45,04-01-2023 10:30,04-01-2023 10:45,0.00000000
04-01-2023 11:00,04-01-2023 10:45,04-01-2023 11:00,0.00000000
04-01-2023 11:15,04-01-2023 11:00,04-01-2023 11:15,0.00000000
04-01-2023 11:30,04-01-2023 11:15,04-01-2023 11:30,0.00000006
04-01-2023 11:45,04-01-2023 11:30,04-01-2023 11:45,0.00000015
04-01-2023 12:00,04-01-2023 11:45,04-01-2023 12:00,0.00000030
04-01-2023 12:15,04-01-2023 12:00,04-01-2023 12:15,0.00000044
04-01-2023 12:30,04-01-2023 12:15,04-01-2023 12:30,0.00000053
04-01-2023 12:45,04-01-2023 12:30,04-01-2023 12:45,0.00000056
04-01-2023 13:00,04-01-2023 12:45,04-01-2023 13:00,0.00000050
04-01-2023 13:15,04-01-2023 13:00,04-01-2023 13:15,0.00000042
04-01-2023 13:30,04-01-2023 13:15,04-01-2023 13:30,0.00000035
04-01-2023 13:45,04-01-2023 13:30,04-01-2023 13:45,0.00000019
04-01-2023 14:00,04-01-2023 13:45,04-01-2023 14:00,0.00000009
04-01-2023 14:15,04-01-2023 14:00,04-01-2023 14:15,0.00000000
04-01-2023 14:30,04-01-2023 14:15,04-01-2023 14:30,0.00000000
04-01-2023 14:45,04-01-2023 14:30,04-01-2023 14:45,0.00000000
04-01-2023 15:00,04-01-2023 14:45,04-01-2023 15:00,0.00000000
04-01-2023 15:15,04-01-2023 15:00,04-01-2023 15:15,0.00000000
04-01-2023 15:30,04-01-2023 15:15,04-01-2023 15:30,0.00000000
04-01-2023 15:45,04-01-2023 15:30,04-01-2023 15:45,0.00000000
04-01-2023 16:00,04-01-2023 15:45,04-01-2023 16:00,0.00000000
04-01-2023 16:15,04-01-2023 16:00,04-01-2023 16:15,0.00000000
04-01-2023 16:30,04-01-2023 16:15,04-01-2023 16:30,0.00000000
04-01-2023 16:45,04-01-2023 16:30,04-01-2023 16:45,0.00000000
