,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-4.26801136000000E+04,-5.38469372200000E+04,3.40615439300000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-7.63361240800000E+04,5.66530980500000E+04,1.58913343400000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,7.78397295600000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.24435132000000E+02,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,1.92757493317561E+04,7.22886983024389E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.73660174320001E+03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,6.10000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.79750000000001E+03,0.00000000000000E+00
Industry - Other metals,3.93140520000000E+01,-,-,6.32901364046111E+03,0.00000000000000E+00,0.00000000000000E+00,9.92271600000000E+00,6.04461391679999E+03,0.00000000000000E+00
