utc_timestamp,cet_cest_timestamp,BE_wind_offshore_generation_actual,BE_wind_onshore_generation_actual
2015-12-31T23:00:00Z,2016-01-01T00:00:00+0100,429.11,80.78
2016-01-01T00:00:00Z,2016-01-01T01:00:00+0100,372.34,75.96
2016-01-01T01:00:00Z,2016-01-01T02:00:00+0100,349.92,49.03
2016-01-01T02:00:00Z,2016-01-01T03:00:00+0100,194.42,32.55
2016-01-01T03:00:00Z,2016-01-01T04:00:00+0100,95.1,27.94
2016-01-01T04:00:00Z,2016-01-01T05:00:00+0100,47.21,26.06
2016-01-01T05:00:00Z,2016-01-01T06:00:00+0100,10.66,14.38
2016-01-01T06:00:00Z,2016-01-01T07:00:00+0100,0.74,5.73
2016-01-01T07:00:00Z,2016-01-01T08:00:00+0100,0.59,2.46
2016-01-01T08:00:00Z,2016-01-01T09:00:00+0100,1.18,5.35
2016-01-01T09:00:00Z,2016-01-01T10:00:00+0100,21.87,3.85
2016-01-01T10:00:00Z,2016-01-01T11:00:00+0100,63.47,4.57
2016-01-01T11:00:00Z,2016-01-01T12:00:00+0100,86.73,4.51
2016-01-01T12:00:00Z,2016-01-01T13:00:00+0100,161.35,6.65
2016-01-01T13:00:00Z,2016-01-01T14:00:00+0100,206.82,14.59
2016-01-01T14:00:00Z,2016-01-01T15:00:00+0100,199.28,15.8
2016-01-01T15:00:00Z,2016-01-01T16:00:00+0100,237.46,19.36
2016-01-01T16:00:00Z,2016-01-01T17:00:00+0100,372.21,37.33
2016-01-01T17:00:00Z,2016-01-01T18:00:00+0100,416.21,42.46
2016-01-01T18:00:00Z,2016-01-01T19:00:00+0100,384.86,44.07
2016-01-01T19:00:00Z,2016-01-01T20:00:00+0100,472.7,44.71
2016-01-01T20:00:00Z,2016-01-01T21:00:00+0100,617.32,53.43
2016-01-01T21:00:00Z,2016-01-01T22:00:00+0100,554.83,58.77
2016-01-01T22:00:00Z,2016-01-01T23:00:00+0100,581.43,62.8
2016-01-01T23:00:00Z,2016-01-02T00:00:00+0100,571.69,76.18
2016-01-02T00:00:00Z,2016-01-02T01:00:00+0100,586.74,80.29
