PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural Gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other Kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,Tide. wave and ocean,Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas-to-liquids (GTL) plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For blended natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-337524.12,0,0,0,0,0,178915.91,0,0,0,0,0,0,0,0,0,0,0,0,-158608.21,-158608.21
Non-specified (transformation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35528.18,0,0,0,0,0,28430.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7097.67,0
Energy industry own use,0,0,0,0,0,0,0,0,0,0,0,0,0,-7383.3,-9552.18,-2075.61,0,-200003.06,0,0,0,0,0,0,-150604.43,0,-3253.1,0,0,0,0,0,-54735.75,-14825.17,0,0,0,0,0,0,0,0,0,0,-512422.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-104242.36,0,-1059097.45,-512422.49
Coal mines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1991.16,0,-1991.16,0
Oil and gas extraction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95810.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54270.81,-601.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31196.01,0,-181878.82,0
Blast furnaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasification plants for biogases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,0,0,0,0,0,0,0,0,0,0,0,0,0,-7383.3,-9552.18,-2075.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19011.09,0
Patent fuel plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-104192.08,0,0,0,0,0,0,-150604.43,0,-3253.1,0,0,0,0,0,-464.94,-14224.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19980,0,-292718.7,0
Coal liquefaction plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquefaction (LNG) / regasification plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Own use in electricity. CHP and heat plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27386.53,0,-27386.53,0
Pumped storage plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (energy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512422.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23688.66,0,-536111.16,-512422.49
Losses,0,0,0,-185.89,-262.51,0,0,0,-260,0,0,0,0,-1633.02,-1461.74,-1360.75,0,-15991.15,0,0,0,0,0,0,-595.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4706.17,0,0,0,0,0,0,0,0,0,0,-336883.83,0,-363340.22,-4706.17
Total final consumption,0,0,0,0,119921.63,29477.08,359.9,0,87851.46,0,8770.26,0,0,47306.7,27859.64,2874.45,0,536736.5,0,0,0,0,0,0,20759.75,0,343900.19,1021301.07,2440.9,0,151094.2,566.06,1885911.28,154462.15,275269.62,0,52376.95,110358.1,0,251245.22,241724.6,0,0,0,1660939.78,0,216535.77,81617.56,281389.85,0,172830.35,0,0,0,0,0,0,23059.55,0,0,0,1754887.42,0,9563827.98,2436372.86
Industry,0,0,0,0,119921.63,29477.08,359.9,0,87851.46,0,3722.9,0,0,47306.7,27859.64,2874.45,0,385812.62,0,0,0,0,0,0,6546.48,0,42058.08,0,0,0,0,43.54,48311.19,112110.28,0,0,0,0,0,251245.22,72558.12,0,0,0,1306112.96,0,0,0,0,0,151895.93,0,0,0,0,0,0,0,0,0,0,756438.53,0,3452506.75,1458008.89
Iron and steel,0,0,0,0,75699.77,0,0,0,70546.95,0,3722.9,0,0,47306.7,27859.64,2874.45,0,41273.93,0,0,0,0,0,0,0,0,836.52,0,0,0,0,0,1817.49,4247.22,0,0,0,0,0,7421.48,0,0,0,0,3149.39,0,0,0,0,0,144755.55,0,0,0,0,0,0,0,0,0,0,97030.26,0,528542.26,147904.95
Chemical and petrochemical,0,0,0,0,501.16,5693,0,0,0,0,0,0,0,0,0,0,0,80704.3,0,0,0,0,0,0,6546.48,0,8039.83,0,0,0,0,0,972.13,17750.11,0,0,0,0,0,3465.71,72558.12,0,0,0,2084.61,0,0,0,0,0,784.36,0,0,0,0,0,0,0,0,0,0,82155.99,0,281255.78,2868.96
Non-ferrous metals,0,0,0,0,31263.17,0,0,0,11555.61,0,0,0,0,0,0,0,0,37318.66,0,0,0,0,0,0,0,0,1858.94,0,0,0,0,0,380.41,48081.59,0,0,0,0,0,27375.48,0,0,0,0,0,0,0,0,0,0,459.79,0,0,0,0,0,0,0,0,0,0,130008.6,0,288302.25,459.79
Non-metallic minerals,0,0,0,0,3126.33,3813.42,0,0,3293.34,0,0,0,0,0,0,0,0,54850.14,0,0,0,0,0,0,0,0,6831.52,0,0,0,0,0,3846.29,5930.06,0,0,0,0,0,166913.36,0,0,0,0,131713.67,0,0,0,0,0,5355.29,0,0,0,0,0,0,0,0,0,0,45296.15,0,430969.6,137068.97
Transport equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machinery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining and quarrying,0,0,0,0,8830.04,6723.16,77.12,0,2455.56,0,0,0,0,0,0,0,0,25102.84,0,0,0,0,0,0,0,0,1580.1,0,0,0,0,43.54,16568.67,8494.43,0,0,0,0,0,21214.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42638.87,0,133728.57,0
Food and tobacco,0,0,0,0,0,2566.38,244.22,0,0,0,0,0,0,0,0,0,0,27248.74,0,0,0,0,0,0,0,0,7807.46,0,0,0,0,0,10862.61,8294.09,0,0,0,0,0,3570.71,0,0,0,0,816115.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98657.76,0,975367.1,816115.13
Paper. pulp and print,0,0,0,0,0,4554.4,0,0,0,0,0,0,0,0,0,0,0,32047.07,0,0,0,0,0,0,0,0,2509.53,0,0,0,0,0,5748.31,12741.6,0,0,0,0,0,0,0,0,0,0,312098.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70551.1,0,440250.02,312098.01
Wood and wood products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.21,0
Textile and leather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12379.57,0,0,0,0,0,0,0,0,1301.26,0,0,0,0,0,253.59,1923.25,0,0,0,0,0,0,0,0,0,0,2991.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26587.18,0,45436.28,2991.43
Non-specified (industry),0,0,0,0,501.16,6126.75,38.56,0,0,0,0,0,0,0,0,0,0,74887.45,0,0,0,0,0,0,0,0,10781.72,0,0,0,0,0,7861.68,4647.89,0,0,0,0,0,21284.27,0,0,0,0,37960.71,0,0,0,0,0,540.93,0,0,0,0,0,0,0,0,0,0,163512.63,0,328143.76,38501.65
Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96122.27,0,0,0,0,0,0,0,0,0,1021301.07,2440.9,0,151094.2,0,1590634.03,40068.01,0,0,0,0,0,0,0,0,0,0,0,0,216535.77,81617.56,281389.85,0,0,0,0,0,0,0,0,0,0,0,0,9347.28,0,3490550.94,579543.18
Domestic aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440.9,0,151094.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153535.11,0
Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65272.8,0,0,0,0,0,0,0,0,0,1021301.07,0,0,0,0,1533658.08,0,0,0,0,0,0,0,0,0,0,0,0,0,216535.77,81617.56,281389.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3199775.13,579543.18
Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42689.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6783.62,0,49473.28,0
Pipeline transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30849.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563.66,0,33413.18,0
Domestic navigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14286.24,40068.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54354.25,0
Non-specified (transport),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21677.53,0,0,0,0,0,0,0,0,301842.15,0,0,0,0,174.17,246966.1,2283.86,0,0,0,0,0,0,0,0,0,0,354826.82,0,0,0,0,0,20934.38,0,0,0,0,0,0,23059.55,0,0,0,989101.61,0,1960866.18,398820.75
Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12726.87,0,0,0,0,0,0,0,0,273028.89,0,0,0,0,174.17,0,0,0,0,0,0,0,0,0,0,0,0,240335.8,0,0,0,0,0,16823.23,0,0,0,0,0,0,0,0,0,0,449706.53,0,992795.49,257159.03
Commercial and public services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8950.67,0,0,0,0,0,0,0,0,28302.06,0,0,0,0,0,422.66,1081.83,0,0,0,0,0,0,0,0,0,0,4019.24,0,0,0,0,0,3786.58,0,0,0,0,0,0,0,0,0,0,452515.04,0,499078.07,7805.83
Agriculture/forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.21,0,0,0,0,0,246543.4,1202.03,0,0,0,0,0,0,0,0,0,0,110471.77,0,0,0,0,0,324.56,0,0,0,0,0,0,0,0,0,0,86880.04,0,445933.01,110796.34
Fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23059.55,0,0,0,0,0,23059.55,23059.55
Non-energy use,0,0,0,0,0,0,0,0,0,0,5047.4,0,0,0,0,0,0,33124.04,0,0,0,0,0,0,14213.26,0,0,0,0,0,0,348.34,0,0,275269.62,0,52376.95,110358.1,0,0,169166.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659904.16,0
Non-energy use industry/transformation/energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33124.04,0,0,0,0,0,0,14213.26,0,0,0,0,0,0,348.34,0,0,275269.62,0,52376.95,110358.1,0,0,169166.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654856.76,0
   Memo: Feedstock use in petrochemical industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33124.04,0,0,0,0,0,0,14213.26,0,0,0,0,0,0,348.34,0,0,275269.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322955.27,0
Non-energy use in transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0,0,5047.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5047.4,0
Electricity output (GWh),0,0,0,0,5939,5871,2992,0,0,0,37,0,0,1018,4784,1135,0,69002,0,0,0,0,0,0,3336,0,0,0,0,0,0,0,10977,11112,0,0,0,0,0,0,1135,0,0,0,39987,457,0,0,0,0,0,0,0,14640,390992,0,0,0,0,6576,0,0,339,570329,438012
Electricity output (GWh)-main activity producer electricity plants,0,0,0,0,5255,5704,2992,0,0,0,0,0,0,0,0,0,0,58976,0,0,0,0,0,0,573,0,0,0,0,0,0,0,9677,9784,0,0,0,0,0,0,0,0,0,0,518,226,0,0,0,0,0,0,0,14640,368939,0,0,0,0,6576,0,0,0,483860,376259
Electricity output (GWh)-autoproducer electricity plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,22053,0,0,0,0,0,0,0,339,22470,22131
Electricity output (GWh)-main activity producer CHP plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity output (GWh)-autoproducer CHP plants,0,0,0,0,684,167,0,0,0,0,37,0,0,1018,4784,1135,0,10026,0,0,0,0,0,0,2763,0,0,0,0,0,0,0,1300,1328,0,0,0,0,0,0,1135,0,0,0,39469,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63999,39622
Heat output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2887,2887,0
Heat output-main activity producer CHP plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat output-autoproducer CHP plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
