Werkdag,Weekenddag
2.990764616,2.499638623
2.883306713,2.468690305
2.712657491,2.392298071
2.50570254,2.313148915
2.331088883,2.236960546
2.159731146,2.164140899
1.998192297,2.021371173
1.893547542,1.956115918
1.785507058,1.894247754
1.693531619,1.811460827
1.601396105,1.756832312
1.499161235,1.663559722
1.423756608,1.599952482
1.340729538,1.508438695
1.247990962,1.440649793
1.177002012,1.38802574
1.111359741,1.306505491
1.04059442,1.238934136
0.994434655,1.178398403
0.927028371,1.136716026
0.873713122,1.076559872
0.830526136,1.025930912
0.794663881,0.990846642
0.767839255,0.976034814
0.746098738,0.953989705
0.696007551,0.925602479
0.666576924,0.906912597
0.652827541,0.864767783
0.642247433,0.815291124
0.632965744,0.812523627
0.628216893,0.811475284
0.619672188,0.789650175
0.591641925,0.770442918
0.57019461,0.72379741
0.605401545,0.699859452
0.662181422,0.699029058
0.676120188,0.711499096
0.660120766,0.700053869
0.645795679,0.705727786
0.647056359,0.761161102
0.645018442,0.795849513
0.65162832,0.854639005
0.708535563,0.903946648
0.769387676,0.962053126
0.807573735,1.055346381
0.942586443,1.16534862
1.020441408,1.225705807
1.096555396,1.256029589
1.194140203,1.378294964
1.379623422,1.564544456
1.481335746,1.608714405
1.488594143,1.659095282
1.459609134,1.703572076
1.439052856,1.771770058
1.412191285,1.823917911
1.41949955,1.85784139
1.45214242,1.765513873
1.471136625,1.793516442
1.529549434,1.830744461
1.603599434,1.84240881
1.653524986,1.727572589
1.813846026,1.820752888
1.984585521,1.972801687
2.145783565,2.046061157
2.37020643,2.075790291
2.608342989,2.21901923
2.881951408,2.277716946
3.20393052,2.456603314
3.569514044,2.560805771
4.117277073,2.795854102
4.634061957,2.936520039
5.049287966,3.027631406
5.356040185,3.057369817
5.665529902,3.192617401
5.764075929,3.154865984
5.711658732,3.152653644
5.625638637,3.077898525
5.466356076,3.055531614
5.269418901,2.899663494
5.066974491,2.851165694
4.858847469,2.809011681
4.693905463,2.783519448
4.558596212,2.754656136
4.413291757,2.66109641
4.259842218,2.590922295
4.070397151,2.576231998
3.928675873,2.673049268
3.78667593,2.70196885
3.67344569,2.602383226
3.584388925,2.521193569
3.53924415,2.566463306
3.520986796,2.546134099
3.409347286,2.458271469
3.292523031,2.457776927
3.197421138,2.449911943
3.060863081,2.489608349
