Werkdag,Weekenddag
1.042438878,1.133229115
0.834531719,1.065707474
0.647166243,1.016030643
0.48206402,0.89946318
0.37865783,0.740781657
0.297912333,0.634521404
0.245756339,0.356731773
0.197014861,0.190327977
0.143209889,0.221236414
0.121195465,0.201036623
0.125103925,0.158510031
0.137527569,0.150528928
0.094857353,0.132343502
0.087382855,0.125803171
0.09765686,0.136997072
0.086481996,0.117388152
0.083453886,0.122936793
0.070835249,0.147230995
0.0934309,0.124342616
0.118823326,0.123643141
0.144156773,0.116803759
0.161656455,0.09804673
0.239637809,0.088368168
0.355041224,0.108412536
0.470982019,0.099203352
0.539486148,0.08405887
0.763217252,0.132055726
1.223418283,0.297900375
2.055642912,0.561624982
2.616917015,0.60423469
3.265577271,0.59850457
3.610563454,0.485418318
4.77400173,0.523616784
5.118625032,0.558241951
5.609715767,0.58334043
5.235330206,0.840912458
5.026419465,1.167398618
4.58155812,1.374005049
3.845577298,1.647458624
3.349827255,1.711052218
3.053767382,1.835815184
3.060053995,2.294757028
2.763777029,2.079893663
2.465600657,2.322641157
2.434617473,2.752885978
2.598240588,3.193408336
2.452005653,3.234338749
2.480276549,3.092415084
2.463855656,2.981913613
2.605081773,3.078411565
2.446683297,2.959396886
2.408903796,3.165081131
2.371779207,2.989335719
2.68470072,3.221757008
2.759865446,3.246265153
2.889089172,3.708368287
2.714951531,3.799725265
2.93523288,3.746359928
2.988580114,3.663120911
3.121310172,3.695136346
2.872362161,3.283561953
3.070190511,3.780693637
2.773807,3.60146507
2.919230276,3.632029699
3.132489216,3.533301352
3.367243732,3.535102476
3.378670008,3.245382635
3.679172295,3.681396303
4.264832626,3.409634448
4.823106661,3.379987743
5.150448323,3.271675688
5.503583011,3.199166948
5.414990195,3.271304101
5.400754156,3.366830158
4.973560185,2.930899574
4.580672101,2.891484905
4.203376226,2.594160085
3.771072207,2.497725222
3.424466632,2.308913804
3.125293624,2.242887056
2.800832065,2.080346027
2.575528488,2.187153024
2.279893295,1.853917808
1.943652843,1.699984574
1.56842549,1.730290462
1.464309379,1.82438388
1.507422476,1.933480477
1.383583742,1.934229655
1.258448464,1.630519912
1.298384286,1.633018294
1.349153519,1.511983637
1.337974758,1.605244794
1.347217295,1.515500534
1.326402264,1.265373958
1.102136115,1.271891504
1.026401256,1.205188526
