utc_timestamp,cet_cest_timestamp,DK_wind_offshore_generation_actual,DK_wind_onshore_generation_actual
2011-12-31T23:00:00Z,2012-01-01T00:00:00+0100,447.4,876
2012-01-01T00:00:00Z,2012-01-01T01:00:00+0100,484.4,960.1
2012-01-01T01:00:00Z,2012-01-01T02:00:00+0100,508.5,1034.5
2012-01-01T02:00:00Z,2012-01-01T03:00:00+0100,540.2,1121.7
2012-01-01T03:00:00Z,2012-01-01T04:00:00+0100,574.8,1218.4
2012-01-01T04:00:00Z,2012-01-01T05:00:00+0100,603.7,1306.8
2012-01-01T05:00:00Z,2012-01-01T06:00:00+0100,641.2,1378.7
2012-01-01T06:00:00Z,2012-01-01T07:00:00+0100,705.6,1381.4
2012-01-01T07:00:00Z,2012-01-01T08:00:00+0100,781.1,1275.3
2012-01-01T08:00:00Z,2012-01-01T09:00:00+0100,751.1,1133.9
2012-01-01T09:00:00Z,2012-01-01T10:00:00+0100,698.7,1188.2
2012-01-01T10:00:00Z,2012-01-01T11:00:00+0100,681.6,1231.8
2012-01-01T11:00:00Z,2012-01-01T12:00:00+0100,671.7,1206.5
2012-01-01T12:00:00Z,2012-01-01T13:00:00+0100,634.6,1225.3
2012-01-01T13:00:00Z,2012-01-01T14:00:00+0100,571.7,1147.1
2012-01-01T14:00:00Z,2012-01-01T15:00:00+0100,532.2,1098.9
2012-01-01T15:00:00Z,2012-01-01T16:00:00+0100,426.3,1012
2012-01-01T16:00:00Z,2012-01-01T17:00:00+0100,379.9,951.4
2012-01-01T17:00:00Z,2012-01-01T18:00:00+0100,623.3,806.5
2012-01-01T18:00:00Z,2012-01-01T19:00:00+0100,686.5,848.5
2012-01-01T19:00:00Z,2012-01-01T20:00:00+0100,689.3,877.6
2012-01-01T20:00:00Z,2012-01-01T21:00:00+0100,674,821.2
2012-01-01T21:00:00Z,2012-01-01T22:00:00+0100,640.8,730.1
2012-01-01T22:00:00Z,2012-01-01T23:00:00+0100,676.5,645.8
2012-01-01T23:00:00Z,2012-01-02T00:00:00+0100,699.1,667.1
2012-01-02T00:00:00Z,2012-01-02T01:00:00+0100,579.6,661.8
2012-01-02T01:00:00Z,2012-01-02T02:00:00+0100,619.5,564.8
2012-01-02T02:00:00Z,2012-01-02T03:00:00+0100,559.4,666.6
2012-01-02T03:00:00Z,2012-01-02T04:00:00+0100,455.4,791.9
2012-01-02T04:00:00Z,2012-01-02T05:00:00+0100,524.7,910.5
2012-01-02T05:00:00Z,2012-01-02T06:00:00+0100,612,912
2012-01-02T06:00:00Z,2012-01-02T07:00:00+0100,558.8,871.5
2012-01-02T07:00:00Z,2012-01-02T08:00:00+0100,576.3,830.6
2012-01-02T08:00:00Z,2012-01-02T09:00:00+0100,478.3,771.2
2012-01-02T09:00:00Z,2012-01-02T10:00:00+0100,473.6,732.1
2012-01-02T10:00:00Z,2012-01-02T11:00:00+0100,532.8,808.6
2012-01-02T11:00:00Z,2012-01-02T12:00:00+0100,513.6,832.2
2012-01-02T12:00:00Z,2012-01-02T13:00:00+0100,450.6,859.6
2012-01-02T13:00:00Z,2012-01-02T14:00:00+0100,436.6,834.8
2012-01-02T14:00:00Z,2012-01-02T15:00:00+0100,443.8,811.8
2012-01-02T15:00:00Z,2012-01-02T16:00:00+0100,391.6,881.5
2012-01-02T16:00:00Z,2012-01-02T17:00:00+0100,423,936.3
2012-01-02T17:00:00Z,2012-01-02T18:00:00+0100,488.2,986
2012-01-02T18:00:00Z,2012-01-02T19:00:00+0100,572.7,920.6
2012-01-02T19:00:00Z,2012-01-02T20:00:00+0100,621.1,1016.7
2012-01-02T20:00:00Z,2012-01-02T21:00:00+0100,672.6,1063.1
2012-01-02T21:00:00Z,2012-01-02T22:00:00+0100,692.3,1041.8
2012-01-02T22:00:00Z,2012-01-02T23:00:00+0100,714.5,1049.9
2012-01-02T23:00:00Z,2012-01-03T00:00:00+0100,692.7,1160.2
2012-01-03T00:00:00Z,2012-01-03T01:00:00+0100,733.9,1241.7
2012-01-03T01:00:00Z,2012-01-03T02:00:00+0100,756.5,1301.8
2012-01-03T02:00:00Z,2012-01-03T03:00:00+0100,770.6,1392.8
2012-01-03T03:00:00Z,2012-01-03T04:00:00+0100,787.9,1463.1
2012-01-03T04:00:00Z,2012-01-03T05:00:00+0100,796.2,1532.6
2012-01-03T05:00:00Z,2012-01-03T06:00:00+0100,803.3,1619.6
2012-01-03T06:00:00Z,2012-01-03T07:00:00+0100,804.8,1755.9
2012-01-03T07:00:00Z,2012-01-03T08:00:00+0100,802.1,1902
2012-01-03T08:00:00Z,2012-01-03T09:00:00+0100,801.6,2105.8
2012-01-03T09:00:00Z,2012-01-03T10:00:00+0100,747.1,2293.1
2012-01-03T10:00:00Z,2012-01-03T11:00:00+0100,542.4,2478
2012-01-03T11:00:00Z,2012-01-03T12:00:00+0100,546.6,2597.5
2012-01-03T12:00:00Z,2012-01-03T13:00:00+0100,666.3,2684.2
2012-01-03T13:00:00Z,2012-01-03T14:00:00+0100,773.8,2684.7
2012-01-03T14:00:00Z,2012-01-03T15:00:00+0100,791.3,2665.6
2012-01-03T15:00:00Z,2012-01-03T16:00:00+0100,814.3,2581
2012-01-03T16:00:00Z,2012-01-03T17:00:00+0100,776,2476.3
2012-01-03T17:00:00Z,2012-01-03T18:00:00+0100,634.4,2573.6
2012-01-03T18:00:00Z,2012-01-03T19:00:00+0100,579.1,2559
2012-01-03T19:00:00Z,2012-01-03T20:00:00+0100,470.6,2421.6
2012-01-03T20:00:00Z,2012-01-03T21:00:00+0100,458,2221.1
2012-01-03T21:00:00Z,2012-01-03T22:00:00+0100,460.7,2090.8
2012-01-03T22:00:00Z,2012-01-03T23:00:00+0100,386.7,1897.7
2012-01-03T23:00:00Z,2012-01-04T00:00:00+0100,450.1,1703.3
2012-01-04T00:00:00Z,2012-01-04T01:00:00+0100,379.7,1569.3
2012-01-04T01:00:00Z,2012-01-04T02:00:00+0100,480.4,1574.2
2012-01-04T02:00:00Z,2012-01-04T03:00:00+0100,606.8,1697.5
2012-01-04T03:00:00Z,2012-01-04T04:00:00+0100,663.4,1839.2
2012-01-04T04:00:00Z,2012-01-04T05:00:00+0100,722.3,2012.4
2012-01-04T05:00:00Z,2012-01-04T06:00:00+0100,787.7,2156.7
2012-01-04T06:00:00Z,2012-01-04T07:00:00+0100,800.9,2223.5
2012-01-04T07:00:00Z,2012-01-04T08:00:00+0100,803.2,2340.5
2012-01-04T08:00:00Z,2012-01-04T09:00:00+0100,801.7,2397.1
2012-01-04T09:00:00Z,2012-01-04T10:00:00+0100,800.3,2418.4
2012-01-04T10:00:00Z,2012-01-04T11:00:00+0100,791.1,2449.4
2012-01-04T11:00:00Z,2012-01-04T12:00:00+0100,805.3,2493.9
2012-01-04T12:00:00Z,2012-01-04T13:00:00+0100,799,2479
2012-01-04T13:00:00Z,2012-01-04T14:00:00+0100,804.1,2455.6
2012-01-04T14:00:00Z,2012-01-04T15:00:00+0100,805.9,2406.5
2012-01-04T15:00:00Z,2012-01-04T16:00:00+0100,807.7,2312.3
2012-01-04T16:00:00Z,2012-01-04T17:00:00+0100,801.2,2273.3
2012-01-04T17:00:00Z,2012-01-04T18:00:00+0100,803.3,2278.2
2012-01-04T18:00:00Z,2012-01-04T19:00:00+0100,807.4,2254.5
2012-01-04T19:00:00Z,2012-01-04T20:00:00+0100,804.7,2238.5
2012-01-04T20:00:00Z,2012-01-04T21:00:00+0100,802.7,2220.9
2012-01-04T21:00:00Z,2012-01-04T22:00:00+0100,805.3,2188.1
2012-01-04T22:00:00Z,2012-01-04T23:00:00+0100,802.9,2141.8
2012-01-04T23:00:00Z,2012-01-05T00:00:00+0100,805.6,1999.6
2012-01-05T00:00:00Z,2012-01-05T01:00:00+0100,796.8,1739.6
2012-01-05T01:00:00Z,2012-01-05T02:00:00+0100,779.5,1511.8
2012-01-05T02:00:00Z,2012-01-05T03:00:00+0100,734.6,1363.1
2012-01-05T03:00:00Z,2012-01-05T04:00:00+0100,553.6,1500
2012-01-05T04:00:00Z,2012-01-05T05:00:00+0100,599.9,1548.1
