Key,Value,Source
country,de,
base_year,2012,
services_final_demand_space_heating,871982.589188679,Based on Fraunhofer_201004_Electricity demand in the European service sector and source analysis
services_final_demand_space_cooling,16360.3661886792,Based on Fraunhofer_201004_Electricity demand in the European service sector and source analysis
services_final_demand_lighting,163603.661886792,Based on Fraunhofer_201004_Electricity demand in the European service sector and source analysis
services_space_heating_share_gas_fired_heaters,0.52805,Based on Fraunhofer_201004_Electricity demand in the European service sector and source analysis
services_space_heating_share_electric_heat_pump_with_storage,0,Assumption
services_space_heating_share_gas_fired_heat_pumps,0,Assumption
services_space_heating_share_electric_heaters,0.1624,Based on Fraunhofer_201004_Electricity demand in the European service sector and source analysis
services_space_heating_share_coal_fired_heater,0.00445,Based on Fraunhofer_201004_Electricity demand in the European service sector and source analysis
services_space_heating_share_oil_fired_heater,0.3051,Based on Fraunhofer_201004_Electricity demand in the European service sector and source analysis
services_space_cooling_share_gas_fired_heat_pump,0,Assumption
services_space_cooling_share_electric_heat_pump,0,Assumption
services_space_cooling_share_airco,1,Assumption
services_lighting_incandescent_lamp,0,
services_lighting_fluorescent_lamp,0,
services_lighting_fluorescent_tube,0.8,Assumption
services_lighting_efficient_fluorescent_tube,0.2,Assumption
services_lighting_LED_tube,0,Assumption
services_biomass_used_in space_heating,1,
services_biomass_used_in appliances,0,
services_savings_lighting_motion_detection,0.039,
services_savings_lighting_daylight_control,0.053,
