Flow,eurostat_code,world_code,Filter,Comment
Primary production,PPRD,Production,,
Recovered and recycled products,RCV_RCY,,,????
Imports,IMP,Imports,,
Exports,EXP,Exports,,
Change in stock,STK_CHG,Stock changes,,
Gross available energy,GAE,,,????
International maritime bunkers,INTMARB,International marine bunkers,,
Gross inland consumption,GIC,,,????
International aviation,INTAVI,International aviation bunkers,,
Total energy supply,NRGSUP,Total energy supply,,
Gross inland consumption (Europe 2020-2030),GIC2020-2030,,,????
Primary energy consumption (Europe 2020-2030),PEC2020-2030,,,????
Final energy consumption (Europe 2020-2030),FEC2020-2030,,,????
Transformation input - energy use,TI_E,,Negative values,
Transformation input - electricity and heat generation - energy use,TI_EHG_E,,production,Summation
Transformation input - electricity and heat generation - main activity producer electricity only - energy use,TI_EHG_MAPE_E,,Negative values,
Transformation input - electricity and heat generation - main activity producer combined heat and power - energy use,TI_EHG_MAPCHP_E,,Negative values,
Transformation input - electricity and heat generation - main activity producer heat only - energy use,TI_EHG_MAPH_E,,Negative values,
Transformation input - electricity and heat generation - autoproducer electricity only - energy use,TI_EHG_APE_E,,Negative values,
Transformation input - electricity and heat generation - autoproducer combined heat and power - energy use,TI_EHG_APCHP_E,,Negative values,
Transformation input - electricity and heat generation - autoproducer heat only - energy use,TI_EHG_APH_E,,Negative values,
Transformation input - electricity and heat generation - electrically driven heat pumps,TI_EHG_EDHP,,Negative values,
Transformation input - electricity and heat generation - electric boilers,TI_EHG_EB,Total energy supply - Transformation processes - Electric boilers,Negative values,
Transformation input - electricity and heat generation - electricity for pumped storage,TI_EHG_EPS,,????,
Transformation input - electricity and heat generation - derived heat for electricity production,TI_EHG_DHEP,,Negative values,
Transformation input - coke ovens - energy use,TI_CO_E,,Negative values,
Transformation input - blast furnaces - energy use,TI_BF_E,,Negative values,
Transformation input - gas works - energy use,TI_GW_E,,Negative values,
Transformation input - refineries and petrochemical industry - energy use,TI_RPI_E,,Summation,????
Transformation input - refineries and petrochemical industry - refinery intake - energy use,TI_RPI_RI_E,,Negative values,
Transformation input - refineries and petrochemical industry - backflows from petrochemical industry - energy use,TI_RPI_BPI_E,,Negative values,
Transformation input - refineries and petrochemical industry - products transferred - energy use,TI_RPI_PT_E,,,????
Transformation input - refineries and petrochemical industry - interproduct transfers - energy use,TI_RPI_IT_E,,,????
Transformation input - refineries and petrochemical industry - direct use - energy use,TI_RPI_DU_E,,,????
Transformation input - refineries and petrochemical industry - petrochemical industry intake - energy use,TI_RPI_PII_E,,,????
Transformation input - refineries and petrochemical industry - petrochemical plants - energy use,,,,
Transformation input - patent fuel plants - energy use,TI_PF_E,,Negative values,
Transformation input - brown coal briquettes and peat briquettes plants - energy use,TI_BKBPB_E,,Negative values,
Transformation input - coal liquefaction plants - energy use,TI_CL_E,,Negative values,
Transformation input - for blended natural gas - energy use,TI_BNG_E,,Negative values,
Transformation input - liquid biofuels blended - energy use,TI_LBB_E,,,????
Transformation input - charcoal production plants - energy use,TI_CPP_,,,
Transformation input - gas-to-liquids plants - energy use,TI_GTL_,,,
Transformation input - not elsewhere specified - energy use,TI_NSP_,,,
Transformation output,TO,Total energy supply - Transformation processes,Positive values,
Transformation output - electricity and heat generation,TO_EHG,Total energy supply - Transformation processes - Main activity producer electricity plants;Total energy supply - Transformation processes - Main activity producer CHP plants;Total energy supply - Transformation processes - Main activity producer heat plants;Total energy supply - Transformation processes - Autoproducer electricity plants;Total energy supply - Transformation processes - Autoproducer CHP plants;Total energy supply - Transformation processes - Autoproducer heat plants;Total energy supply - Transformation processes - Heat pumps;Total energy supply - Transformation processes - Electric boilers;Total energy supply - Energy industry own use - Pumped storage plants;Total energy supply - Transformation processes - Chemical heat for electricity production,Summation,
Transformation output - electricity and heat generation - main activity producer electricity only,TO_EHG_MAPE,Total energy supply - Transformation processes - Main activity producer electricity plants,Positive values,
Transformation output - electricity and heat generation - main activity producer combined heat and power,TO_EHG_MAPCHP,Total energy supply - Transformation processes - Main activity producer CHP plants,Positive values,
Transformation output - electricity and heat generation - main activity producer heat only,TO_EHG_MAPH,Total energy supply - Transformation processes - Main activity producer heat plants,Positive values,
Transformation output - electricity and heat generation - autoproducer electricity only,TO_EHG_APE,Total energy supply - Transformation processes - Autoproducer electricity plants,Positive values,
Transformation output - electricity and heat generation - autoproducer combined heat and power,TO_EHG_APCHP,Total energy supply - Transformation processes - Autoproducer CHP plants,Positive values,
Transformation output - electricity and heat generation - autoproducer heat only,TO_EHG_APH,Total energy supply - Transformation processes - Autoproducer heat plants,Positive values,
Transformation output - electricity and heat generation - electrically driven heat pumps,TO_EHG_EDHP,Total energy supply - Transformation processes - Heat pumps,Positive values,
Transformation output - electricity and heat generation - electric boilers,TO_EHG_EB,Total energy supply - Transformation processes - Electric boilers,Positive values,
Transformation output - electricity and heat generation - pumped hydro,TO_EHG_PH,Total energy supply - Energy industry own use - Pumped storage plants,Positive values,
Transformation output - electricity and heat generation - other sources,TO_EHG_OTH,Total energy supply - Transformation processes - Chemical heat for electricity production,Positive values,
Transformation output - coke ovens,TO_CO,Total energy supply - Transformation processes - Coke ovens,Positive values,
Transformation output - blast furnaces,TO_BF,Total energy supply - Transformation processes - Blast furnaces,Positive values,
Transformation output - gas works,TO_GW,Total energy supply - Transformation processes - Gas works,Positive values,
Transformation output - refineries and petrochemical industry,TO_RPI,,,
Transformation output - refineries and petrochemical industry - refinery output,TO_RPI_RO,Total energy supply - Transformation processes - Oil refineries,Positive values,
Transformation output - refineries and petrochemical industry - backflows,TO_RPI_BKFLOW,,Positive values,
Transformation output - refineries and petrochemical industry - petrochemical plants,,Total energy supply - Transformation processes - Petrochemical plants,,
Transformation output - refineries and petrochemical industry - products transferred,TO_RPI_PT,,,????
Transformation output - refineries and petrochemical industry - interproduct transfers,TO_RPI_IT,,,????
Transformation output - refineries and petrochemical industry - primary product receipts,TO_RPI_PPR,,,????
Transformation output - refineries and petrochemical industry - petrochemical industry returns,TO_RPI_PIR,,,????
Transformation output - patent fuel plants,TO_PF,Total energy supply - Transformation processes - Patent fuel plants,Positive values,
Transformation output - brown coal briquettes and peat briquettes plants,TO_BKBPB,Total energy supply - Transformation processes - BKB/peat briquette plants,Positive values,
Transformation output - coal liquefaction plants,TO_CL,Total energy supply - Transformation processes - Coal liquefaction plants,Positive values,
Transformation output - blended in natural gas,TO_BNG,Total energy supply - Transformation processes - For blended natural gas,Positive values,
Transformation output - liquid biofuels blended,TO_LBB,,,????
Transformation output - charcoal production plants,TO_CPP,Total energy supply - Transformation processes - Charcoal production plants,Positive values,
Transformation output - gas-to-liquids plants,TO_GTL,Total energy supply - Transformation processes - Gas-to-liquids (GTL) plants,Positive values,
Transformation output - not elsewhere specified,TO_NSP,Total energy supply - Transformation processes - Non-specified (transformation),Positive values,
Energy sector - energy use,NRG_E,,Summation,????
Energy sector - electricity and heat generation - energy use,NRG_EHG_E,,,????
Energy sector - coal mines - energy use,NRG_CM_E,Total energy supply - Energy industry own use - Coal mines,,
Energy sector - oil and natural gas extraction plants - energy use,NRG_OIL_NG_E,Total energy supply - Energy industry own use - Oil and gas extraction,,
Energy sector - patent fuel plants - energy use,NRG_PF_E,Total energy supply - Energy industry own use - Patent fuel plants,,
Energy sector - coke ovens - energy use,NRG_CO_E,Total energy supply - Energy industry own use - Coke ovens,,
Energy sector - brown coal briquettes and peat briquettes plants - energy use,NRG_BKBPB_E,Total energy supply - Energy industry own use - BKB/peat briquette plants,,
Energy sector - gas works - energy use,NRG_GW_E,Total energy supply - Energy industry own use - Gas works,,
Energy sector - blast furnaces - energy use,NRG_BF_E,Total energy supply - Energy industry own use - Blast furnaces,,
Energy sector - petroleum refineries (oil refineries) - energy use,NRG_PR_E,Total energy supply - Energy industry own use - Oil refineries,,
Energy sector - nuclear industry - energy use,NRG_NI_E,Total energy supply - Energy industry own use - Nuclear industry,,
Energy sector - coal liquefaction plants - energy use,NRG_CL_E,Total energy supply - Energy industry own use - Coal liquefaction plants,,
