party,category,classification,measure,gas,unit,year,numberValue,stringValue
FIN,1.  Energy,Total for category,Emission factor information,CH4,no unit,1990,,"CR,CS,D,OTH,PS"
FIN,1.  Energy,Total for category,Emission factor information,CH4,no unit,2019,,"CR,CS,D,OTH,PS"
FIN,1.  Energy,Total for category,Emission factor information,CO2,no unit,1990,,"CS,D,PS"
FIN,1.  Energy,Total for category,Emission factor information,CO2,no unit,2019,,"CS,D,PS"
FIN,1.  Energy,Total for category,Emission factor information,N2O,no unit,1990,,"CR,CS,D,OTH"
FIN,1.  Energy,Total for category,Emission factor information,N2O,no unit,2019,,"CR,CS,D,OTH"
FIN,1.  Energy,Total for category,Indirect emissions,CO2,kt,1990,19.417613902,
FIN,1.  Energy,Total for category,Indirect emissions,CO2,kt,2019,8.657689335,
FIN,1.  Energy,Total for category,Indirect emissions,N2O,kt,1990,1.4148,
FIN,1.  Energy,Total for category,Indirect emissions,N2O,kt,2019,0.529667,
FIN,1.  Energy,Total for category,Method,CH4,no unit,1990,,"CS,T1,T2,T3"
FIN,1.  Energy,Total for category,Method,CH4,no unit,2019,,"CS,T1,T2,T3"
FIN,1.  Energy,Total for category,Method,CO2,no unit,1990,,"CS,T1,T2,T3"
FIN,1.  Energy,Total for category,Method,CO2,no unit,2019,,"CS,T1,T2,T3"
FIN,1.  Energy,Total for category,Method,N2O,no unit,1990,,"CS,T1,T2,T3"
FIN,1.  Energy,Total for category,Method,N2O,no unit,2019,,"CS,T1,T2,T3"
FIN,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,53420.145227888,
FIN,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,38971.48723715767,
FIN,1.  Energy,Total for category,Net emissions/removals,CH4,kt,1990,12.646013814,
FIN,1.  Energy,Total for category,Net emissions/removals,CH4,kt,2019,11.84640762375188,
FIN,1.  Energy,Total for category,Net emissions/removals,CO,kt,1990,721.249375196,
FIN,1.  Energy,Total for category,Net emissions/removals,CO,kt,2019,336.289983349,
FIN,1.  Energy,Total for category,Net emissions/removals,CO2,kt,1990,52584.728043571,
FIN,1.  Energy,Total for category,Net emissions/removals,CO2,kt,2019,38123.63819629762,
FIN,1.  Energy,Total for category,Net emissions/removals,NH3,kt,1990,,NE
FIN,1.  Energy,Total for category,Net emissions/removals,NH3,kt,2019,,NE
FIN,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,1990,141.12046183194113,
FIN,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,2019,42.54661871371236,
FIN,1.  Energy,Total for category,Net emissions/removals,NOx,kt,1990,292.922072412,
FIN,1.  Energy,Total for category,Net emissions/removals,NOx,kt,2019,108.914527311,
FIN,1.  Energy,Total for category,Net emissions/removals,N2O,kt,1990,1.816335085,
FIN,1.  Energy,Total for category,Net emissions/removals,N2O,kt,2019,1.947734443,
FIN,1.  Energy,Total for category,Net emissions/removals,SO2,kt,1990,184.36155217700002,
FIN,1.  Energy,Total for category,Net emissions/removals,SO2,kt,2019,20.569016773,
FIN,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,1990,12.646013814,
FIN,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,2019,11.84640762375188,
FIN,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,1990,1.816335085,
FIN,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,2019,1.947734443,
FIN,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,1990,19.417613902,
FIN,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,2019,8.657689335,
FIN,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,1990,,NO
FIN,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,2019,,NO
FIN,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,1990,3055.467,
FIN,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,2019,115759.45476593002,
FIN,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,1990,22.87847847808535,
FIN,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,2019,6.97286516796523,
FIN,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,1990,110.88000001309129,
FIN,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,2019,108.35154005417392,
FIN,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,1990,3.22842007457453,
FIN,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,2019,3.59336203544754,
FIN,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,343.36155292300003,
