utc_timestamp,cet_cest_timestamp,UK_wind_offshore_generation_actual,UK_wind_onshore_generation_actual
2016-12-31T23:00:00Z,2017-01-01T00:00:00+0100,2611,2928
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,1992,2952
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,2321,3003
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,2323,3405
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,2194,3805
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,2433,3526
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,2546,3816
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,2335,3940
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,2051,4283
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,2221,4124
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,2307,4194
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,2724,4198
2017-01-01T11:00:00Z,2017-01-01T12:00:00+0100,2641,4694
2017-01-01T12:00:00Z,2017-01-01T13:00:00+0100,2830,5146
2017-01-01T13:00:00Z,2017-01-01T14:00:00+0100,2684,5237
2017-01-01T14:00:00Z,2017-01-01T15:00:00+0100,2095,5288
2017-01-01T15:00:00Z,2017-01-01T16:00:00+0100,1881,5048
2017-01-01T16:00:00Z,2017-01-01T17:00:00+0100,2103,4722
2017-01-01T17:00:00Z,2017-01-01T18:00:00+0100,2341,4793
2017-01-01T18:00:00Z,2017-01-01T19:00:00+0100,2680,4640
2017-01-01T19:00:00Z,2017-01-01T20:00:00+0100,2908,4343
2017-01-01T20:00:00Z,2017-01-01T21:00:00+0100,2917,3920
2017-01-01T21:00:00Z,2017-01-01T22:00:00+0100,2872,3675
2017-01-01T22:00:00Z,2017-01-01T23:00:00+0100,2480,3112
2017-01-01T23:00:00Z,2017-01-02T00:00:00+0100,2309,2974
2017-01-02T00:00:00Z,2017-01-02T01:00:00+0100,2056,2746
2017-01-02T01:00:00Z,2017-01-02T02:00:00+0100,2204,2447
2017-01-02T02:00:00Z,2017-01-02T03:00:00+0100,2400,2364
2017-01-02T03:00:00Z,2017-01-02T04:00:00+0100,2242,2389
2017-01-02T04:00:00Z,2017-01-02T05:00:00+0100,2004,2328
2017-01-02T05:00:00Z,2017-01-02T06:00:00+0100,1876,2338
2017-01-02T06:00:00Z,2017-01-02T07:00:00+0100,1725,2339
2017-01-02T07:00:00Z,2017-01-02T08:00:00+0100,1972,2443
2017-01-02T08:00:00Z,2017-01-02T09:00:00+0100,1618,2435
2017-01-02T09:00:00Z,2017-01-02T10:00:00+0100,1470,2432
2017-01-02T10:00:00Z,2017-01-02T11:00:00+0100,1223,2404
2017-01-02T11:00:00Z,2017-01-02T12:00:00+0100,1143,2403
2017-01-02T12:00:00Z,2017-01-02T13:00:00+0100,1246,2544
2017-01-02T13:00:00Z,2017-01-02T14:00:00+0100,1198,2756
2017-01-02T14:00:00Z,2017-01-02T15:00:00+0100,1375,2864
2017-01-02T15:00:00Z,2017-01-02T16:00:00+0100,1426,2896
2017-01-02T16:00:00Z,2017-01-02T17:00:00+0100,1292,2884
2017-01-02T17:00:00Z,2017-01-02T18:00:00+0100,1148,2853
2017-01-02T18:00:00Z,2017-01-02T19:00:00+0100,1153,2830
2017-01-02T19:00:00Z,2017-01-02T20:00:00+0100,1254,2818
2017-01-02T20:00:00Z,2017-01-02T21:00:00+0100,1181,3098
2017-01-02T21:00:00Z,2017-01-02T22:00:00+0100,1077,3402
2017-01-02T22:00:00Z,2017-01-02T23:00:00+0100,1339,3508
2017-01-02T23:00:00Z,2017-01-03T00:00:00+0100,1423,3587
2017-01-03T00:00:00Z,2017-01-03T01:00:00+0100,1481,3848
2017-01-03T01:00:00Z,2017-01-03T02:00:00+0100,1666,3870
2017-01-03T02:00:00Z,2017-01-03T03:00:00+0100,1669,3790
2017-01-03T03:00:00Z,2017-01-03T04:00:00+0100,1597,3893
2017-01-03T04:00:00Z,2017-01-03T05:00:00+0100,1432,3919
2017-01-03T05:00:00Z,2017-01-03T06:00:00+0100,1604,3957
2017-01-03T06:00:00Z,2017-01-03T07:00:00+0100,1840,3835
2017-01-03T07:00:00Z,2017-01-03T08:00:00+0100,1866,3877
2017-01-03T08:00:00Z,2017-01-03T09:00:00+0100,2143,4274
2017-01-03T09:00:00Z,2017-01-03T10:00:00+0100,2363,4659
2017-01-03T10:00:00Z,2017-01-03T11:00:00+0100,2639,4809
2017-01-03T11:00:00Z,2017-01-03T12:00:00+0100,2758,5466
2017-01-03T12:00:00Z,2017-01-03T13:00:00+0100,2827,5681
2017-01-03T13:00:00Z,2017-01-03T14:00:00+0100,2841,5697
2017-01-03T14:00:00Z,2017-01-03T15:00:00+0100,2882,5786
2017-01-03T15:00:00Z,2017-01-03T16:00:00+0100,2977,5696
2017-01-03T16:00:00Z,2017-01-03T17:00:00+0100,2977,5483
2017-01-03T17:00:00Z,2017-01-03T18:00:00+0100,2928,5747
2017-01-03T18:00:00Z,2017-01-03T19:00:00+0100,2981,5755
2017-01-03T19:00:00Z,2017-01-03T20:00:00+0100,2993,5596
2017-01-03T20:00:00Z,2017-01-03T21:00:00+0100,2916,5533
2017-01-03T21:00:00Z,2017-01-03T22:00:00+0100,2975,5383
2017-01-03T22:00:00Z,2017-01-03T23:00:00+0100,2878,5145
2017-01-03T23:00:00Z,2017-01-04T00:00:00+0100,2938,5022
2017-01-04T00:00:00Z,2017-01-04T01:00:00+0100,2990,4925
2017-01-04T01:00:00Z,2017-01-04T02:00:00+0100,2992,4757
2017-01-04T02:00:00Z,2017-01-04T03:00:00+0100,2906,4768
2017-01-04T03:00:00Z,2017-01-04T04:00:00+0100,2884,4464
2017-01-04T04:00:00Z,2017-01-04T05:00:00+0100,2709,4191
2017-01-04T05:00:00Z,2017-01-04T06:00:00+0100,2588,4129
2017-01-04T06:00:00Z,2017-01-04T07:00:00+0100,2663,3813
2017-01-04T07:00:00Z,2017-01-04T08:00:00+0100,2811,3607
2017-01-04T08:00:00Z,2017-01-04T09:00:00+0100,2537,3377
2017-01-04T09:00:00Z,2017-01-04T10:00:00+0100,2245,3206
2017-01-04T10:00:00Z,2017-01-04T11:00:00+0100,1820,2977
2017-01-04T11:00:00Z,2017-01-04T12:00:00+0100,1742,2753
2017-01-04T12:00:00Z,2017-01-04T13:00:00+0100,2002,2689
2017-01-04T13:00:00Z,2017-01-04T14:00:00+0100,2087,2413
2017-01-04T14:00:00Z,2017-01-04T15:00:00+0100,2097,2154
2017-01-04T15:00:00Z,2017-01-04T16:00:00+0100,2121,1894
2017-01-04T16:00:00Z,2017-01-04T17:00:00+0100,2160,1669
2017-01-04T17:00:00Z,2017-01-04T18:00:00+0100,2167,1582
2017-01-04T18:00:00Z,2017-01-04T19:00:00+0100,2068,1320
2017-01-04T19:00:00Z,2017-01-04T20:00:00+0100,2060,1114
2017-01-04T20:00:00Z,2017-01-04T21:00:00+0100,1932,997
2017-01-04T21:00:00Z,2017-01-04T22:00:00+0100,1867,886
2017-01-04T22:00:00Z,2017-01-04T23:00:00+0100,1747,803
2017-01-04T23:00:00Z,2017-01-05T00:00:00+0100,1718,726
2017-01-05T00:00:00Z,2017-01-05T01:00:00+0100,1596,676
2017-01-05T01:00:00Z,2017-01-05T02:00:00+0100,1466,683
2017-01-05T02:00:00Z,2017-01-05T03:00:00+0100,1446,693
2017-01-05T03:00:00Z,2017-01-05T04:00:00+0100,1331,753
2017-01-05T04:00:00Z,2017-01-05T05:00:00+0100,1214,610
2017-01-05T05:00:00Z,2017-01-05T06:00:00+0100,1036,912
2017-01-05T06:00:00Z,2017-01-05T07:00:00+0100,943,994
2017-01-05T07:00:00Z,2017-01-05T08:00:00+0100,954,1132
2017-01-05T08:00:00Z,2017-01-05T09:00:00+0100,836,1331
2017-01-05T09:00:00Z,2017-01-05T10:00:00+0100,792,1534
2017-01-05T10:00:00Z,2017-01-05T11:00:00+0100,613,1358
2017-01-05T11:00:00Z,2017-01-05T12:00:00+0100,614,1897
2017-01-05T12:00:00Z,2017-01-05T13:00:00+0100,654,2018
